Year,Units,Area of spending category,Area of spending sub-category,Observation status,Unit multiplier,Unit measure,Value
2000,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),65.15631434
2001,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),66.19322177
2002,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),66.95978205
2003,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),66.01007118
2004,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),65.6851937
2005,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),65.22631225
2006,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),64.85161006
2007,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),64.77870305
2008,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),62.37228481
2009,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),65.31672344
2010,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),65.24617464
2011,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),65.47982703
2012,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),65.78560864
2013,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),66.64518237
2014,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),67.38984609
2015,Percentage (%) of national budget,,,Undefined,Units,Percentage (%),68.13987609
2000,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),14.29348403
2001,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),14.63225988
2002,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),14.90752479
2003,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),14.92465135
2004,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),15.36587128
2005,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),15.48696049
2006,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),15.83154679
2007,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),15.82307645
2008,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),15.45239939
2009,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),16.24346563
2010,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),16.02713196
2011,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),16.10505018
2012,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),16.03529042
2013,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),16.70873472
2014,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),17.29676359
2015,Percentage (%) of national budget,Health,,Undefined,Units,Percentage (%),17.80501985
2000,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.433259175
2001,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.419122389
2002,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.5080606730000001
2003,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.536606296
2004,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.478386814
2005,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.409825649
2006,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.369521954
2007,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.311266185
2008,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.188448965
2009,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.124990889
2010,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.031348166
2011,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.086470689
2012,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.06198498299999
2013,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.013235355
