Year,Country,Region,Police Force Area,Monitored hate crime strand,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2016/17,England,North East,Cleveland,Race,"Rate per 1,000 population",Units,Undefined,E23000013,1.11819953925217
2016/17,England,North East,Durham,Race,"Rate per 1,000 population",Units,Undefined,E23000008,0.543176130833767
2016/17,England,North East,Northumbria,Race,"Rate per 1,000 population",Units,Undefined,E23000007,1.1136805515660402
2016/17,England,North East,,Race,"Rate per 1,000 population",Units,Undefined,E12000001,0.9788201671086079
2016/17,England,North West,Cheshire,Race,"Rate per 1,000 population",Units,Undefined,E23000006,0.8033684226595691
2016/17,England,North West,Cumbria,Race,"Rate per 1,000 population",Units,Undefined,E23000002,0.397665422790647
2016/17,England,North West,Greater Manchester,Race,"Rate per 1,000 population",Units,Undefined,E23000005,1.57828089949431
2016/17,England,North West,Lancashire,Race,"Rate per 1,000 population",Units,Undefined,E23000003,0.550152790291453
2016/17,England,North West,Merseyside,Race,"Rate per 1,000 population",Units,Undefined,E23000004,1.53649586511258
2016/17,England,North West,,Race,"Rate per 1,000 population",Units,Undefined,E12000002,1.16474225870242
2016/17,England,Yorkshire and The Humber,North Yorkshire,Race,"Rate per 1,000 population",Units,Undefined,E23000009,0.788211988446115
2016/17,England,Yorkshire and The Humber,South Yorkshire,Race,"Rate per 1,000 population",Units,Undefined,E23000011,0.169678888119517
2016/17,England,Yorkshire and The Humber,West Yorkshire,Race,"Rate per 1,000 population",Units,Undefined,E23000010,0.5600796287124301
2016/17,England,Yorkshire and The Humber,Humberside,Race,"Rate per 1,000 population",Units,Undefined,E23000012,4.43059665943142
2016/17,England,Yorkshire and The Humber,,Race,"Rate per 1,000 population",Units,Undefined,E12000003,1.15652405818855
2016/17,England,East Midlands,Derbyshire,Race,"Rate per 1,000 population",Units,Undefined,E23000018,0.45009683319929494
2016/17,England,East Midlands,Leicestershire,Race,"Rate per 1,000 population",Units,Undefined,E23000021,0.8243714868409
2016/17,England,East Midlands,Lincolnshire,Race,"Rate per 1,000 population",Units,Undefined,E23000020,0.344357712334866
2016/17,England,East Midlands,Northamptonshire,Race,"Rate per 1,000 population",Units,Undefined,E23000022,0.579707772721816
2016/17,England,East Midlands,Nottinghamshire,Race,"Rate per 1,000 population",Units,Undefined,E23000019,0.8626821315643058
2016/17,England,East Midlands,,Race,"Rate per 1,000 population",Units,Undefined,E12000004,0.637536282100914
2016/17,England,West Midlands,Staffordshire,Race,"Rate per 1,000 population",Units,Undefined,E23000015,0.9782674668942148
2016/17,England,West Midlands,Warwickshire,Race,"Rate per 1,000 population",Units,Undefined,E23000017,0.8046699595868879
2016/17,England,West Midlands,West Mercia,Race,"Rate per 1,000 population",Units,Undefined,E23000016,0.7174005788461371
2016/17,England,West Midlands,West Midlands,Race,"Rate per 1,000 population",Units,Undefined,E23000014,1.34139637163276
2016/17,England,West Midlands,,Race,"Rate per 1,000 population",Units,Undefined,E12000005,2.19551995252929
2016/17,England,East of England,Bedfordshire,Race,"Rate per 1,000 population",Units,Undefined,E23000026,0.7765482430596
2016/17,England,East of England,Cambridgeshire,Race,"Rate per 1,000 population",Units,Undefined,E23000023,0.924579080956615
2016/17,England,East of England,Essex,Race,"Rate per 1,000 population",Units,Undefined,E23000028,0.7990393771044141
2016/17,England,East of England,Hertfordshire,Race,"Rate per 1,000 population",Units,Undefined,E23000027,0.9602964171595619
2016/17,England,East of England,Norfolk,Race,"Rate per 1,000 population",Units,Undefined,E23000024,0.579031661944068
2016/17,England,East of England,Suffolk,Race,"Rate per 1,000 population",Units,Undefined,E23000025,0.613197293881176
