Year,Flow of Official Development Assistance (ODA),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2009,Bilateral,,Undefined,Thousands,GBP (£),18777.05
2009,Bilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),354.69
2009,Bilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),18422.36
2010,,,Undefined,Thousands,GBP (£),57244.59
2010,,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),999.93
2010,,Urban development and management (43030),Undefined,Thousands,GBP (£),56244.66
2010,Bilateral,,Undefined,Thousands,GBP (£),35421.8
2010,Bilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),486.27
2010,Bilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),34935.52
2010,Multilateral,,Undefined,Thousands,GBP (£),21822.8
2010,Multilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),513.66
2010,Multilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),21309.14
2011,,,Undefined,Thousands,GBP (£),84691.78
2011,,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),21258.97
2011,,Urban development and management (43030),Undefined,Thousands,GBP (£),63432.82
2011,Bilateral,,Undefined,Thousands,GBP (£),59306.37
2011,Bilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),20856.15
2011,Bilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),38450.22
2011,Multilateral,,Undefined,Thousands,GBP (£),25385.42
2011,Multilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),402.82
2011,Multilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),24982.6
2012,,,Undefined,Thousands,GBP (£),25349.17
2012,,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),-29869.89
2012,,Urban development and management (43030),Undefined,Thousands,GBP (£),55219.06
2012,Bilateral,,Undefined,Thousands,GBP (£),-3888.56
2012,Bilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),-30549.29
2012,Bilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),26660.73
2012,Multilateral,,Undefined,Thousands,GBP (£),29237.74
2012,Multilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),679.41
2012,Multilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),28558.33
2013,,,Undefined,Thousands,GBP (£),82200.63
2013,,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),-7605.01
2013,,Urban development and management (43030),Undefined,Thousands,GBP (£),89805.64
2013,Bilateral,,Undefined,Thousands,GBP (£),34630.34
2013,Bilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),-9333.15
2013,Bilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),43963.49
2013,Multilateral,,Undefined,Thousands,GBP (£),47570.29
2013,Multilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),1728.14
2013,Multilateral,Urban development and management (43030),Undefined,Thousands,GBP (£),45842.15
2014,,,Undefined,Thousands,GBP (£),88748.13
2014,,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),9425.63
2014,,Urban development and management (43030),Undefined,Thousands,GBP (£),79322.5
2014,Bilateral,,Undefined,Thousands,GBP (£),32762.27
2014,Bilateral,Construction policy and administrative management (32310),Undefined,Thousands,GBP (£),7830.03
2014,Bilateral,Urban development and management (43030),,,,24932.24
2014,Multilateral,,,,,55985.86
2014,Multilateral,Construction policy and administrative management (32310),,,,1595.6
2014,Multilateral,Urban development and management (43030),,,,54390.26
2015,,,,,,111499.75
2015,,Construction policy and administrative management (32310),,,,2562.86
2015,,Urban development and management (43030),,,,108936.9
2015,Bilateral,,,,,61567.21
2015,Bilateral,Construction policy and administrative management (32310),,,,1061.27
2015,Bilateral,Urban development and management (43030),,,,60505.95
2015,Multilateral,,,,,49932.54
2015,Multilateral,Construction policy and administrative management (32310),,,,1501.59
2015,Multilateral,Urban development and management (43030),,,,48430.95
