Year,Sex,Age,Region,Income quartile,Disability status,Country of birth,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2011,,,,,,,Undefined,Units,Mean quality rating,,6.35
2011,,18 to 24,,,,,Undefined,Units,Mean quality rating,,6.541571232934429
2011,,24 to 29,,,,,Undefined,Units,Mean quality rating,,6.587100021852487
2011,,30 to 34,,,,,Undefined,Units,Mean quality rating,,6.423608132076651
2011,,35 to 39,,,,,Undefined,Units,Mean quality rating,,6.324131529957682
2011,,40 to 44,,,,,Undefined,Units,Mean quality rating,,6.10637651134163
2011,,45 to 49,,,,,Undefined,Units,Mean quality rating,,6.049377714236307
2011,,50 to 54,,,,,Undefined,Units,Mean quality rating,,5.938001936554987
2011,,55 to 59,,,,,Undefined,Units,Mean quality rating,,5.741916101598363
2011,,60 to 64,,,,,Undefined,Units,Mean quality rating,,6.16801720310198
2011,,65 to 69,,,,,Undefined,Units,Mean quality rating,,6.5193950440938675
2011,,70 to 74,,,,,Undefined,Units,Mean quality rating,,6.5058849715431775
2011,,75 to 79,,,,,Undefined,Units,Mean quality rating,,6.88816131766271
2011,,80 to 84,,,,,Undefined,Units,Mean quality rating,,7.237547084759673
2011,,85+,,,,,Undefined,Units,Mean quality rating,,7.320972496815106
2011,Male,,,,,,Undefined,Units,Mean quality rating,,6.403225277646119
2011,Female,,,,,,Undefined,Units,Mean quality rating,,6.295574133822269
2011,,,,1st,,,Undefined,Units,Mean quality rating,,6.474055968730387
2011,,,,2nd,,,Undefined,Units,Mean quality rating,,6.536654182172991
2011,,,,3rd,,,Undefined,Units,Mean quality rating,,6.0070450731830975
2011,,,,4th,,,Undefined,Units,Mean quality rating,,6.237648976997511
2011,,,,,Has limiting chronic disability or illness,,Undefined,Units,Mean quality rating,,6.174850490742892
2011,,,East,,,,Undefined,Units,Mean quality rating,E12000007,6.3791293017797335
2011,,,East Midlands,,,,Undefined,Units,Mean quality rating,E12000004,6.731160404083491
2011,,,London,,,,Undefined,Units,Mean quality rating,E12000007,6.189259921619204
2011,,,North East,,,,Undefined,Units,Mean quality rating,E12000001,6.156401830575462
2011,,,North West,,,,Undefined,Units,Mean quality rating,E12000002,6.4224681386618245
2011,,,Northern Ireland,,,,Undefined,Units,Mean quality rating,N92000002,6.356685218193128
2011,,,Scotland,,,,Undefined,Units,Mean quality rating,S92000003,6.512420792257137
2011,,,South East,,,,Undefined,Units,Mean quality rating,E12000008,6.0673858982079825
2011,,,South West,,,,Undefined,Units,Mean quality rating,E12000009,6.449166716539085
2011,,,Wales,,,,Undefined,Units,Mean quality rating,W92000004,6.67114733282787
2011,,,West Midlands,,,,Undefined,Units,Mean quality rating,E12000005,6.1595870085881455
2011,,,Yorkshire and The Humber,,,,Undefined,Units,Mean quality rating,E12000003,6.442184254479388
2016,,,,,,,Undefined,Units,Mean quality rating,,6.31
2016,,18 to 24,,,,,Undefined,Units,Mean quality rating,,6.566686574018964
2016,,24 to 29,,,,,Undefined,Units,Mean quality rating,,6.510796230338426
2016,,30 to 34,,,,,Undefined,Units,Mean quality rating,,6.313935349205848
2016,,35 to 39,,,,,Undefined,Units,Mean quality rating,,6.444538524728639
2016,,40 to 44,,,,,Undefined,Units,Mean quality rating,,6.656620399312858
2016,,45 to 49,,,,,Undefined,Units,Mean quality rating,,6.118357152930603
2016,,50 to 54,,,,,Undefined,Units,Mean quality rating,,5.942659643077443
2016,,55 to 59,,,,,Undefined,Units,Mean quality rating,,5.8296799611028876
2016,,60 to 64,,,,,Undefined,Units,Mean quality rating,,6.2236200971474265
2016,,65 to 69,,,,,Undefined,Units,Mean quality rating,,6.069959304407017
2016,,70 to 74,,,,,Undefined,Units,Mean quality rating,,6.0559250666506275
2016,,75 to 79,,,,,Undefined,Units,Mean quality rating,,6.576511352569906
2016,,80 to 84,,,,,Undefined,Units,Mean quality rating,,6.670043782839088
2016,Male,,,,,,Undefined,Units,Mean quality rating,,6.324386245218028
2016,Female,,,,,,Undefined,Units,Mean quality rating,,6.304542336988934
2016,,,,1st,,,Undefined,Units,Mean quality rating,,6.1561660761478265
2016,,,,2nd,,,Undefined,Units,Mean quality rating,,6.390462492315358
2016,,,,3rd,,,Undefined,Units,Mean quality rating,,6.326025512296653
2016,,,,4th,,,Undefined,Units,Mean quality rating,,6.033433924148558
2016,,,,,Has limiting chronic disability or illness,,Undefined,Units,Mean quality rating,,5.970843703397293
2016,,,,,,UK-born,Undefined,Units,Mean quality rating,,6.2318859583203805
2016,,,,,,EU-born,Undefined,Units,Mean quality rating,,6.205882751505048
2016,,,,,,Non-EU born,Undefined,Units,Mean quality rating,,6.869865960558252
2016,,,East,,,,Undefined,Units,Mean quality rating,E12000007,6.522066523405978
2016,,,East Midlands,,,,Undefined,Units,Mean quality rating,E12000004,6.272933890495705
2016,,,London,,,,Undefined,Units,Mean quality rating,E12000007,6.687475868106357
2016,,,North West,,,,Undefined,Units,Mean quality rating,E12000002,6.5141633079320895
2016,,,Scotland,,,,Undefined,Units,Mean quality rating,S92000003,6.222758887516992
2016,,,South East,,,,Undefined,Units,Mean quality rating,E12000008,6.1222573416783375
2016,,,South West,,,,Undefined,Units,Mean quality rating,E12000009,5.833583573598869
2016,,,Wales,,,,Undefined,Units,Mean quality rating,W92000004,6.578124286657963
2016,,,West Midlands,,,,Undefined,Units,Mean quality rating,E12000005,6.1514137612272135
2016,,,Yorkshire and The Humber,,,,Undefined,Units,Mean quality rating,E12000003,6.238690712596114
