Year,DAC classification,Observation status,Unit multiplier,Unit measure,Value
2015,Developing countries,Undefined,Units,Percentage (%),18.029782195
2016,Developing countries,Undefined,Units,Percentage (%),17.85179603282307
2017,Developing countries,Undefined,Units,Percentage (%),17.413315561316516
2018,Developing countries,Undefined,Units,Percentage (%),17.48479086067335
2015,Least developed countries,Undefined,Units,Percentage (%),1.026402183620332
2016,Least developed countries,Undefined,Units,Percentage (%),0.9281086722394308
2017,Least developed countries,Undefined,Units,Percentage (%),0.949080726125476
2018,Least developed countries,Undefined,Units,Percentage (%),0.8362658739699679
2015,Developing countries excluding China,Undefined,Units,Percentage (%),11.317737243197303
2016,Developing countries excluding China,Undefined,Units,Percentage (%),10.9819246376425
2017,Developing countries excluding China,Undefined,Units,Percentage (%),10.730619432232977
2018,Developing countries excluding China,Undefined,Units,Percentage (%),10.944460230377477
