Year,Observation status,Unit multiplier,Unit measure,Value
2000,Undefined,Units,Index,30160.99101
2001,Undefined,Units,Index,32744.91773
2002,Undefined,Units,Index,36692.1732
2003,Undefined,Units,Index,41374.72615
2004,Undefined,Units,Index,48528.74304
2005,Undefined,Units,Index,57919.5752
2006,Undefined,Units,Index,74162.29921
2007,Undefined,Units,Index,89418.38276000001
2008,Undefined,Units,Index,101113.5394
2009,Undefined,Units,Index,111858.6753
2010,Undefined,Units,Index,117330.5948
2011,Undefined,Units,Index,120386.2338
2012,Undefined,Units,Index,127127.1325
2013,Undefined,Units,Index,133737.8667
2014,Undefined,Units,Index,140659.4777
2015,Undefined,Units,Index,145065.1845
2016,Undefined,Units,Index,149917.0847
2017,Undefined,Units,Index,151259.8301
