Year,Observation status,Unit multiplier,Unit measure,Value
2000,Undefined,Units,Index,0.895854088466845
2001,Undefined,Units,Index,1.28082820268376
2002,Undefined,Units,Index,0.6740826795909489
2003,Undefined,Units,Index,0.7200599238616461
2004,Undefined,Units,Index,0.788058380364423
2005,Undefined,Units,Index,0.8117226145817041
2006,Undefined,Units,Index,0.8275797614149609
2007,Undefined,Units,Index,0.7841249934299209
2008,Undefined,Units,Index,0.583590061381042
2009,Undefined,Units,Index,0.5666350503918821
2010,Undefined,Units,Index,0.580325611177207
2011,Undefined,Units,Index,0.549304337747687
2012,Undefined,Units,Index,0.5073812981696989
2013,Undefined,Units,Index,0.5026515132458049
2014,Undefined,Units,Index,0.452907296367613
2015,Undefined,Units,Index,0.436081619356656
