Year,Units,Transboundary basin,Transboundary aquifers,Value
2016,Area (km²),,,11072.92
2016,Area (km²),Neagh Bann,,6177.18
2016,Area (km²),North Western,,4895.74
2016,Area (km²),,,2478.0
2016,Area (km²),,Anierin-Cuilcagh East,772.0
2016,Area (km²),,Aughnacloy,634.0
2016,Area (km²),,Ballinamore-Swanlinbar,34.0
2016,Area (km²),,Ballintempo,98.0
2016,Area (km²),,Ballybofey,17.0
2016,Area (km²),,Ballyshannon East,40.0
2016,Area (km²),,Ballyshannon South,5.0
2016,Area (km²),,Bundoran,3.0
2016,Area (km²),,Castlecaldwell Forest,53.0
2016,Area (km²),,Castlederg,30.0
2016,Area (km²),,Claddagh-Swanlinbar,14.0
2016,Area (km²),,Clones,21.0
2016,Area (km²),,Cooneen Water,16.0
2016,Area (km²),,Crilly,8.0
2016,Area (km²),,Crom Castle,76.0
2016,Area (km²),,Derrylin,44.0
2016,Area (km²),,Donagh,40.0
2016,Area (km²),,Keady,21.0
2016,Area (km²),,Kilcoo,29.0
2016,Area (km²),,Knockatallon,4.0
2016,Area (km²),,Lough Swilly,13.0
2016,Area (km²),,Louth,303.0
2016,Area (km²),,Magheraveely,122.0
2016,Area (km²),,Marble Arch,25.0
2016,Area (km²),,Monaghan Town,6.0
2016,Area (km²),,Newtown-Ballyconnell,47.0
2016,Area (km²),,Pettigo,15.0
2016,Area (km²),,River Foyle,35.0
2016,Area (km²),,Rossinver,9.0
2016,Area (km²),,Slieve Rushen,18.0
2016,Area (km²),,Slieve Rushen South,3.0
2016,Area (km²),,Tullaghan-Lough Melvin,23.0
2016,Percentage (%),,,0.0
2016,Percentage (%),,Anierin-Cuilcagh East,0.0
2016,Percentage (%),,Aughnacloy,0.0
2016,Percentage (%),,Ballinamore-Swanlinbar,0.0
2016,Percentage (%),,Ballintempo,0.0
2016,Percentage (%),,Ballybofey,0.0
2016,Percentage (%),,Ballyshannon East,0.0
2016,Percentage (%),,Ballyshannon South,0.0
2016,Percentage (%),,Bundoran,0.0
2016,Percentage (%),,Castlecaldwell Forest,0.0
2016,Percentage (%),,Castlederg,0.0
2016,Percentage (%),,Claddagh-Swanlinbar,0.0
2016,Percentage (%),,Clones,0.0
2016,Percentage (%),,Cooneen Water,0.0
2016,Percentage (%),,Crilly,0.0
2016,Percentage (%),,Crom Castle,0.0
2016,Percentage (%),,Derrylin,0.0
2016,Percentage (%),,Donagh,0.0
2016,Percentage (%),,Keady,0.0
2016,Percentage (%),,Kilcoo,0.0
2016,Percentage (%),,Knockatallon,0.0
2016,Percentage (%),,Lough Swilly,0.0
2016,Percentage (%),,Louth,0.0
2016,Percentage (%),,Magheraveely,0.0
2016,Percentage (%),,Marble Arch,0.0
2016,Percentage (%),,Monaghan Town,0.0
2016,Percentage (%),,Newtown-Ballyconnell,0.0
2016,Percentage (%),,Pettigo,0.0
2016,Percentage (%),,River Foyle,0.0
2016,Percentage (%),,Rossinver,0.0
2016,Percentage (%),,Slieve Rushen,0.0
2016,Percentage (%),,Slieve Rushen South,0.0
2016,Percentage (%),,Tullaghan-Lough Melvin,0.0
