Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2009,Bilateral,,,,Undefined,Thousands,GBP (£),525824.57
2010,Bilateral,,,,Undefined,Thousands,GBP (£),358522.611994
2011,Bilateral,,,,Undefined,Thousands,GBP (£),546585.348854
2012,Bilateral,,,,Undefined,Thousands,GBP (£),597359.908441
2013,Bilateral,,,,Undefined,Thousands,GBP (£),487080.95821400004
2014,Bilateral,,,,Undefined,Thousands,GBP (£),396384.18451199896
2015,Bilateral,,,,Undefined,Thousands,GBP (£),888545.051268
2016,Bilateral,,,,Undefined,Thousands,GBP (£),826430.9587199991
2010,Multilateral,,,,Undefined,Thousands,GBP (£),423041.938558348
2011,Multilateral,,,,Undefined,Thousands,GBP (£),675666.097549455
2012,Multilateral,,,,Undefined,Thousands,GBP (£),641173.434845151
2013,Multilateral,,,,Undefined,Thousands,GBP (£),1052652.04311798
2014,Multilateral,,,,Undefined,Thousands,GBP (£),1117087.06942672
2015,Multilateral,,,,Undefined,Thousands,GBP (£),1071773.96673674
2016,Multilateral,,,,Undefined,Thousands,GBP (£),868972.4598340441
2010,,,,,Undefined,Thousands,GBP (£),781564.550552348
2011,,,,,Undefined,Thousands,GBP (£),1222251.44640345
2012,,,,,Undefined,Thousands,GBP (£),1238533.34328615
2013,,,,,Undefined,Thousands,GBP (£),1539733.00133198
2014,,,,,Undefined,Thousands,GBP (£),1513471.25393872
2015,,,,,Undefined,Thousands,GBP (£),1960319.01800474
2016,,,,,Undefined,Thousands,GBP (£),1695403.41855404
2009,Bilateral,Banking and Financial Services (240),,,Undefined,Thousands,GBP (£),318119.42
2009,Bilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),Undefined,Thousands,GBP (£),1011.84
2009,Bilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),Undefined,Thousands,GBP (£),88059.06
2009,Bilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),228614.0
2009,Bilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),0.21
