Year,Unit measure,Value
2000/01,Percentage (%),30.5
2001/02,Percentage (%),31.1
2002/03,Percentage (%),28.0
2003/04,Percentage (%),25.5
2004/05,Percentage (%),25.0
2005/06,Percentage (%),24.8
2006/07,Percentage (%),25.2
2007/08,Percentage (%),25.9
2008/09,Percentage (%),24.4
2009/10,Percentage (%),21.9
2010/11,Percentage (%),20.3
2011/12,Percentage (%),19.5
2012/13,Percentage (%),18.0
2013/14,Percentage (%),19.7
2014/15,Percentage (%),20.8
2015/16,Percentage (%),18.8
2016/17,Percentage (%),19.9
2017/18,Percentage (%),20.6
2018/19,Percentage (%),21.6
2019/20,Percentage (%),22.0
2020/21,Percentage (%),20.1
