Year,Units,Unit multiplier,Observation status,Value
1994,"Number of refugees per 100,000 population",Units,Normal value,0.18319384504628114
1995,"Number of refugees per 100,000 population",Units,Normal value,0.12925491007089632
1996,"Number of refugees per 100,000 population",Units,Normal value,0.11862912390724309
1997,"Number of refugees per 100,000 population",Units,Normal value,0.12861344842236314
1998,"Number of refugees per 100,000 population",Units,Normal value,0.1504916939871796
1999,"Number of refugees per 100,000 population",Units,Normal value,0.1738107959065581
2000,"Number of refugees per 100,000 population",Units,Normal value,0.1851027631953689
2001,"Number of refugees per 100,000 population",Units,Normal value,0.17593387051808465
2002,"Number of refugees per 100,000 population",Units,Normal value,0.26614634494739275
2003,"Number of refugees per 100,000 population",Units,Normal value,0.24481524899857146
2004,"Number of refugees per 100,000 population",Units,Normal value,0.2351940154632559
2005,"Number of refugees per 100,000 population",Units,Normal value,0.22180505950582827
2006,"Number of refugees per 100,000 population",Units,Normal value,0.27948052199136053
2007,"Number of refugees per 100,000 population",Units,Normal value,0.3229001100518592
2008,"Number of refugees per 100,000 population",Units,Normal value,0.29438427700693487
2009,"Number of refugees per 100,000 population",Units,Normal value,0.24895342789676708
2010,"Number of refugees per 100,000 population",Units,Normal value,0.2421939920338572
2011,"Number of refugees per 100,000 population",Units,Normal value,0.23702188636396498
2012,"Number of refugees per 100,000 population",Units,Normal value,0.23545965963835278
2013,"Number of refugees per 100,000 population",Units,Normal value,0.21838899616468366
2014,"Number of refugees per 100,000 population",Units,Normal value,0.2120845169494153
2015,"Number of refugees per 100,000 population",Units,Normal value,0.19658989636671462
2016,"Number of refugees per 100,000 population",Units,Normal value,0.11881526194835217
2017,"Number of refugees per 100,000 population",Units,Normal value,0.12870926083119472
2018,"Number of refugees per 100,000 population",Units,Normal value,0.12643817021449663
2019,"Number of refugees per 100,000 population",Units,Normal value,0.10329824406758185
2020,"Number of refugees per 100,000 population",Units,Normal value,0.09242516721799769
2021,"Number of refugees per 100,000 population",Units,Normal value,0.1506869092597598
