Year,Series,Country,Sex,Cause of death,Observation status,Unit multiplier,Units,GeoCode,Value
2013,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.18
2014,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.13
2015,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.07
2016,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.09
2017,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.12
2018,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.1
2019,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.08
2020,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.08
2021,"Age-standardised mortality rates per 100,000 population",,,,Normal value,,"Rate per 100,000 population",K04000001,0.08
2013,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.13
2014,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.11
2015,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.07
2016,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.07
2017,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.06
2018,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.09
2019,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.05
2020,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.06
2021,"Age-standardised mortality rates per 100,000 population",,Female,,Normal value,,"Rate per 100,000 population",K04000001,0.05
2013,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.24
2014,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.15
2015,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.07
2016,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.12
2017,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.18
2018,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.11
2019,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.11
2020,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.11
2021,"Age-standardised mortality rates per 100,000 population",,Male,,Normal value,,"Rate per 100,000 population",K04000001,0.1
2001,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,130.0
2002,Number of deaths from exposure to forces of nature,,,,Normal value,,Number,K04000001,95.0
