Year,Series,Mountain elevation,Unit multiplier,Observation status,Units,Value,COMMENT_TS
2000,Mountain Green Cover Index,5,Units,Normal value,Index,4.7619,5 comment
2010,Mountain Green Cover Index,5,Units,Normal value,Index,3.06122,5 comment
2015,Mountain Green Cover Index,5,Units,Normal value,Index,3.06122,5 comment
2018,Mountain Green Cover Index,5,Units,Normal value,Index,3.06122,5 comment
2015,Mountain Green Cover Index,6,Units,Normal value,Index,85.82695,6 comment
2018,Mountain Green Cover Index,6,Units,Normal value,Index,85.84156,6 comment
2000,Mountain Green Cover Index,6,Units,Normal value,Index,85.86166,6 comment
2010,Mountain Green Cover Index,6,Units,Normal value,Index,85.83462,6 comment
2000,Mountain Green Cover Index,,Units,Normal value,Index,85.6011,Extra comment
2010,Mountain Green Cover Index,,Units,Normal value,Index,85.56868,Extra comment
2018,Mountain Green Cover Index,,Units,Normal value,Index,85.5756,Extra comment
2015,Mountain Green Cover Index,,Units,Normal value,Index,85.56103,Extra comment
