Year,Series,Units,Observation status,Unit multiplier,Value
1998,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,169.573996062
1999,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,164.34913673880885
2000,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,145.1331581205363
2001,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,134.008385932961
2002,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,140.52091402013943
2003,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,147.50519060980545
2004,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,160.5185664692928
2005,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,157.2779684987283
2006,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,147.96344252078765
2007,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,163.29732340306552
2008,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,181.0895836798049
2009,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,238.51159503296327
2010,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,262.4803895466657
2011,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,258.93948553932563
2012,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,276.25572459830784
2013,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,280.64290156061526
2014,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,304.0255145187775
2015,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,316.4470245189447
2016,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,304.1564826545261
2017,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,283.42773618832535
2018,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,276.93121772886593
2019,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,270.38813013943513
2020,Debt service as a proportion of exports of goods and services,Percentage (%),Normal value,Units,366.87055824471315
