Year,Food price index,Unit measure,Unit multiplier,Observation status,Value
2000 01,Bread and cereal,Index,Units,Undefined,
2000 02,Bread and cereal,Index,Units,Undefined,
2000 03,Bread and cereal,Index,Units,Undefined,
2000 04,Bread and cereal,Index,Units,Undefined,
2000 05,Bread and cereal,Index,Units,Undefined,
2000 06,Bread and cereal,Index,Units,Undefined,
2000 07,Bread and cereal,Index,Units,Undefined,
2000 08,Bread and cereal,Index,Units,Undefined,
2000 09,Bread and cereal,Index,Units,Undefined,
2000 10,Bread and cereal,Index,Units,Undefined,
2000 11,Bread and cereal,Index,Units,Undefined,
2000 12,Bread and cereal,Index,Units,Undefined,
2001 01,Bread and cereal,Index,Units,Undefined,
2001 02,Bread and cereal,Index,Units,Undefined,
2001 03,Bread and cereal,Index,Units,Undefined,0.21073698346230213
2001 04,Bread and cereal,Index,Units,Undefined,0.07115413479364435
2001 05,Bread and cereal,Index,Units,Undefined,0.4410948479287976
2001 06,Bread and cereal,Index,Units,Undefined,0.4271213502277039
2001 07,Bread and cereal,Index,Units,Undefined,0.26499153585829227
2001 08,Bread and cereal,Index,Units,Undefined,0.5170789363344346
2001 09,Bread and cereal,Index,Units,Undefined,0.5463481844823063
2001 10,Bread and cereal,Index,Units,Undefined,0.4311246674921449
2001 11,Bread and cereal,Index,Units,Undefined,0.477541291542527
2001 12,Bread and cereal,Index,Units,Undefined,0.3869412018002372
2002 01,Bread and cereal,Index,Units,Undefined,0.08960804537247236
2002 02,Bread and cereal,Index,Units,Undefined,0.08211109758930765
2002 03,Bread and cereal,Index,Units,Undefined,0.020018306835793462
2002 04,Bread and cereal,Index,Units,Undefined,0.2285582972515227
2002 05,Bread and cereal,Index,Units,Undefined,-0.07064641199690436
2002 06,Bread and cereal,Index,Units,Undefined,0.19591926376126104
2002 07,Bread and cereal,Index,Units,Undefined,0.02661793573197748
2002 08,Bread and cereal,Index,Units,Undefined,-0.0873500444680334
2002 09,Bread and cereal,Index,Units,Undefined,-0.43507858769068597
2002 10,Bread and cereal,Index,Units,Undefined,-0.31048449054674204
2002 11,Bread and cereal,Index,Units,Undefined,-0.7401203833812412
2002 12,Bread and cereal,Index,Units,Undefined,-0.6617169865090077
2003 01,Bread and cereal,Index,Units,Undefined,-0.6168690754981703
2003 02,Bread and cereal,Index,Units,Undefined,-0.24088846802918912
2003 03,Bread and cereal,Index,Units,Undefined,-0.010241708737796937
2003 04,Bread and cereal,Index,Units,Undefined,0.31340325848135786
2003 05,Bread and cereal,Index,Units,Undefined,0.2332907843468886
2003 06,Bread and cereal,Index,Units,Undefined,-0.15901826533077018
2003 07,Bread and cereal,Index,Units,Undefined,-0.023906334734963904
2003 08,Bread and cereal,Index,Units,Undefined,-0.0383016543650605
2003 09,Bread and cereal,Index,Units,Undefined,0.04344487635288109
2003 10,Bread and cereal,Index,Units,Undefined,0.49855067738453135
2003 11,Bread and cereal,Index,Units,Undefined,0.5767220570518896
2003 12,Bread and cereal,Index,Units,Undefined,0.46923020786198166
2004 01,Bread and cereal,Index,Units,Undefined,0.5123002790313457
2004 02,Bread and cereal,Index,Units,Undefined,0.4035575958382458
2004 03,Bread and cereal,Index,Units,Undefined,0.4393835510098126
2004 04,Bread and cereal,Index,Units,Undefined,0.4074861347324671
2004 05,Bread and cereal,Index,Units,Undefined,0.21366350178096824
2004 06,Bread and cereal,Index,Units,Undefined,0.28319815534162096
2004 07,Bread and cereal,Index,Units,Undefined,-0.0023305380245381285
2004 08,Bread and cereal,Index,Units,Undefined,-0.19994654339254692
2004 09,Bread and cereal,Index,Units,Undefined,-0.2084236777474877
2004 10,Bread and cereal,Index,Units,Undefined,-0.4103471286111072
2004 11,Bread and cereal,Index,Units,Undefined,-0.3745628898388189
2004 12,Bread and cereal,Index,Units,Undefined,-0.07396361334292625
2005 01,Bread and cereal,Index,Units,Undefined,-0.13473149186701877
2005 02,Bread and cereal,Index,Units,Undefined,0.17305457160352272
2005 03,Bread and cereal,Index,Units,Undefined,-0.036478188071886124
2005 04,Bread and cereal,Index,Units,Undefined,-0.23055248865707953
2005 05,Bread and cereal,Index,Units,Undefined,-0.24525797282714001
2005 06,Bread and cereal,Index,Units,Undefined,-0.06540327021844278
2005 07,Bread and cereal,Index,Units,Undefined,-0.0638537544237924
2005 08,Bread and cereal,Index,Units,Undefined,0.25453205359853015
2005 09,Bread and cereal,Index,Units,Undefined,0.23936017100287504
2005 10,Bread and cereal,Index,Units,Undefined,0.16916338527268943
2005 11,Bread and cereal,Index,Units,Undefined,0.2849903026921149
2005 12,Bread and cereal,Index,Units,Undefined,0.2365314124908082
2006 01,Bread and cereal,Index,Units,Undefined,0.1798964553518138
2006 02,Bread and cereal,Index,Units,Undefined,-0.017800804626470632
2006 03,Bread and cereal,Index,Units,Undefined,-0.03626425710692875
2006 04,Bread and cereal,Index,Units,Undefined,0.06298161310006817
2006 05,Bread and cereal,Index,Units,Undefined,-0.0011321011465971267
2006 06,Bread and cereal,Index,Units,Undefined,-0.028617384323173154
2006 07,Bread and cereal,Index,Units,Undefined,0.127101380773337
