Year,Age,Number of previous live births,Value
2014,,,97.4986396953
2014,19 and under,,98.47672669777486
2014,20 to 24,,98.03097621469229
2014,25 to 29,,97.68137928206811
2014,30 to 34,,97.27995339747444
2014,35 to 39,,96.79612422975255
2014,40 to 44,,97.60832544938505
2014,45 and over,,98.8404196576477
2014,,0,99.0841868579478
2014,19 and under,0,98.99749373433583
2014,20 to 24,0,99.21615705105572
2014,25 to 29,0,99.16865990044606
2014,30 to 34,0,98.94827275624593
2014,35 to 39,0,98.9051594361571
2014,40 to 44,0,99.43995021779713
2014,45 and over,0,99.83050847457628
2014,,1,97.03666053506309
2014,19 and under,1,97.1576689309975
2014,20 to 24,1,97.32533717958451
2014,25 to 29,1,97.41405103509196
2014,30 to 34,1,96.90704988749518
2014,35 to 39,1,96.32229867956109
2014,40 to 44,1,97.24400369003689
2014,45 and over,1,98.7152034261242
2014,,2,95.94583275164037
2014,19 and under,2,94.30485762144055
2014,20 to 24,2,95.70940598183788
2014,25 to 29,2,95.98428775483704
2014,30 to 34,2,95.97725299044738
2014,35 to 39,2,95.77085905803493
2014,40 to 44,2,96.82686954908147
2014,45 and over,2,98.56630824372759
2014,,3,95.34605013482472
2014,19 and under,3,95.0
2014,20 to 24,3,94.6260804208944
2014,25 to 29,3,94.93612294019626
2014,30 to 34,3,95.35816618911174
2014,35 to 39,3,95.6019962570181
2014,40 to 44,3,96.48550724637681
2014,45 and over,3,98.42931937172776
2014,,4 and over,95.51925135810302
2014,19 and under,4 and over,100.0
2014,20 to 24,4 and over,93.4931506849315
2014,25 to 29,4 and over,94.39999999999999
2014,30 to 34,4 and over,95.30681943373361
2014,35 to 39,4 and over,95.94699922057679
2014,40 to 44,4 and over,97.03603907039408
2014,45 and over,4 and over,97.28682170542635
2014,,Not stated,97.9502196193265
2014,19 and under,Not stated,97.52066115702479
2014,20 to 24,Not stated,98.51851851851852
2014,25 to 29,Not stated,98.30007390983
2014,30 to 34,Not stated,97.83180026281208
2014,35 to 39,Not stated,96.80729760547321
2014,40 to 44,Not stated,99.51690821256038
2014,45 and over,Not stated,100.0
2015,,,97.54056173894638
2015,19 and under,,98.80459770114942
2015,20 to 24,,98.15153852587754
2015,25 to 29,,97.71952964662385
2015,30 to 34,,97.22716060874018
2015,35 to 39,,96.88670648982485
2015,40 to 44,,97.95648560852158
2015,45 and over,,98.89558232931726
2015,,0,99.08068277212946
2015,19 and under,0,99.1198591774684
2015,20 to 24,0,99.25100962479318
2015,25 to 29,0,99.19117006582631
2015,30 to 34,0,98.88469365895457
2015,35 to 39,0,98.84484711211779
2015,40 to 44,0,99.4549135648653
2015,45 and over,0,99.56647398843931
2015,,1,97.0420093533301
2015,19 and under,1,97.83701114266987
2015,20 to 24,1,97.2572315431752
2015,25 to 29,1,97.35357296290992
2015,30 to 34,1,96.80387230268992
2015,35 to 39,1,96.58274956217163
2015,40 to 44,1,97.71164468492842
2015,45 and over,1,98.84393063583815
2015,,2,96.01082707905472
2015,19 and under,2,95.90517241379311
2015,20 to 24,2,96.24342599549212
2015,25 to 29,2,95.96715207128133
2015,30 to 34,2,95.93271049140535
2015,35 to 39,2,95.69042458243018
2015,40 to 44,2,97.60398696568909
2015,45 and over,2,98.98648648648648
2015,,3,95.61164165529786
2015,19 and under,3,97.5
2015,20 to 24,3,95.54908485856906
2015,25 to 29,3,95.15593895155939
