Year,Cause of death,Country,Region,Sex,Observation status,GeoCode,Value
2013,,England,,,Undefined,E92000001,514.092429704933
2013,,England,,Female,Undefined,E92000001,585.618217607329
2013,,England,,Male,Undefined,E92000001,440.416069947991
2013,,England,East,,Undefined,E12000006,525.882491305297
2013,,England,East,Female,Undefined,E12000006,598.352793305329
2013,,England,East,Male,Undefined,E12000006,451.06877006078
2013,,England,East Midlands,,Undefined,E12000004,498.205936718495
2013,,England,East Midlands,Female,Undefined,E12000004,557.367201578993
2013,,England,East Midlands,Male,Undefined,E12000004,437.409056836721
2013,,England,London,,Undefined,E12000007,343.807543807544
2013,,England,London,Female,Undefined,E12000007,376.790460286474
2013,,England,London,Male,Undefined,E12000007,310.144510058092
2013,,England,North East,,Undefined,E12000001,532.827702443883
2013,,England,North East,Female,Undefined,E12000001,613.2712805885
2013,,England,North East,Male,Undefined,E12000001,448.998748435544
2013,,England,North West,,Undefined,E12000002,563.665798550011
2013,,England,North West,Female,Undefined,E12000002,644.866287931273
2013,,England,North West,Male,Undefined,E12000002,479.828326180258
2013,,England,South East,,Undefined,E12000008,560.433061911477
2013,,England,South East,Female,Undefined,E12000008,658.044883986307
2013,,England,South East,Male,Undefined,E12000008,459.549470373283
2013,,England,South West,,Undefined,E12000009,635.215798575599
2013,,England,South West,Female,Undefined,E12000009,723.028022359431
2013,,England,South West,Male,Undefined,E12000009,544.194501249716
2013,,England,West Midlands,,Undefined,E12000005,505.374449339207
2013,,England,West Midlands,Female,Undefined,E12000005,566.990561766447
2013,,England,West Midlands,Male,Undefined,E12000005,442.256937014052
2013,,England,Yorkshire and The Humber,,Undefined,E12000003,518.930665617565
2013,,England,Yorkshire and The Humber,Female,Undefined,E12000003,592.340928394697
2013,,England,Yorkshire and The Humber,Male,Undefined,E12000003,443.346007604563
2013,,Northern Ireland,,,Undefined,N92000002,449.800513745423
2013,,Northern Ireland,,Female,Undefined,N92000002,536.135535063264
2013,,Northern Ireland,,Male,Undefined,N92000002,360.049046928993
2013,,Scotland,,,Undefined,S92000003,450.475815079678
2013,,Scotland,,Female,Undefined,S92000003,510.762495439621
2013,,Scotland,,Male,Undefined,S92000003,386.592956276337
2013,,United Kingdom,,,Undefined,K02000001,517.364290538907
2013,,United Kingdom,,Female,Undefined,K02000001,591.048918416092
2013,,United Kingdom,,Male,Undefined,K02000001,441.252021691561
2013,,Wales,,,Undefined,W92000004,730.27511030366
2013,,Wales,,Female,Undefined,W92000004,858.856559469117
2013,,Wales,,Male,Undefined,W92000004,597.280887011616
2013,Acute respiratory infections,England,,,Undefined,E92000001,486.449658224699
2013,Acute respiratory infections,England,,Female,Undefined,E92000001,551.884617917591
2013,Acute respiratory infections,England,,Male,Undefined,E92000001,419.047260119092
2013,Acute respiratory infections,England,East,,Undefined,E12000006,500.344427829769
2013,Acute respiratory infections,England,East,Female,Undefined,E12000006,567.260940032415
2013,Acute respiratory infections,England,East,Male,Undefined,E12000006,431.264085228437
2013,Acute respiratory infections,England,East Midlands,,Undefined,E12000004,467.978688702838
2013,Acute respiratory infections,England,East Midlands,Female,Undefined,E12000004,523.47035098258
2013,Acute respiratory infections,England,East Midlands,Male,Undefined,E12000004,410.952863882887
2013,Acute respiratory infections,England,London,,Undefined,E12000007,327.413127413127
2013,Acute respiratory infections,England,London,Female,Undefined,E12000007,355.152056824329
2013,Acute respiratory infections,England,London,Male,Undefined,E12000007,299.102213260358
2013,Acute respiratory infections,England,North East,,Undefined,E12000001,495.671493143339
2013,Acute respiratory infections,England,North East,Female,Undefined,E12000001,571.235550217685
2013,Acute respiratory infections,England,North East,Male,Undefined,E12000001,416.927409261577
2013,Acute respiratory infections,England,North West,,Undefined,E12000002,530.442739494615
2013,Acute respiratory infections,England,North West,Female,Undefined,E12000002,602.743522239158
2013,Acute respiratory infections,England,North West,Male,Undefined,E12000002,455.793991416309
2013,Acute respiratory infections,England,South East,,Undefined,E12000008,535.18628030751
2013,Acute respiratory infections,England,South East,Female,Undefined,E12000008,626.048821963171
2013,Acute respiratory infections,England,South East,Male,Undefined,E12000008,441.278505018733
2013,Acute respiratory infections,England,South West,,Undefined,E12000009,603.789724231549
2013,Acute respiratory infections,England,South West,Female,Undefined,E12000009,685.031602791275
2013,Acute respiratory infections,England,South West,Male,Undefined,E12000009,519.578883587064
2013,Acute respiratory infections,England,West Midlands,,Undefined,E12000005,476.828193832599
2013,Acute respiratory infections,England,West Midlands,Female,Undefined,E12000005,532.511405983352
2013,Acute respiratory infections,England,West Midlands,Male,Undefined,E12000005,419.787431343177
2013,Acute respiratory infections,England,Yorkshire and The Humber,,Undefined,E12000003,486.333576874801
2013,Acute respiratory infections,England,Yorkshire and The Humber,Female,Undefined,E12000003,554.304073267107
2013,Acute respiratory infections,England,Yorkshire and The Humber,Male,Undefined,E12000003,416.349809885932
