Year,Age at which FGM took place,Country of birth,Units,Local Authority,FGM type,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2015/16,,,Percentage,,,%,,,,0.0218656554349
2016/17,,,Percentage,,,%,,,,0.023686511841105835
2017/18,,,Percentage,,,%,,,,0.022383405786796918
2018/19,,,Percentage,,,%,,,,0.02311125310511304
2015/16,Not Recorded,,Individuals,,,,,,,3060.0
2016/17,Not Recorded,,Individuals,,,,,,,2855.0
2017/18,Not Recorded,,Individuals,,,,,,,2730.0
2018/19,Not Recorded,,Individuals,,,,,,,2695.0
2015/16,Not Known,,Individuals,,,,,,,1235.0
2016/17,Not Known,,Individuals,,,,,,,1355.0
2017/18,Not Known,,Individuals,,,,,,,1230.0
2018/19,Not Known,,Individuals,,,,,,,1200.0
2015/16,under 1,,Individuals,,,,,,,305.0
2016/17,under 1,,Individuals,,,,,,,430.0
2017/18,under 1,,Individuals,,,,,,,390.0
2018/19,under 1,,Individuals,,,,,,,380.0
2015/16,1 to 4,,Individuals,,,,,,,450.0
2016/17,1 to 4,,Individuals,,,,,,,545.0
2017/18,1 to 4,,Individuals,,,,,,,505.0
2018/19,1 to 4,,Individuals,,,,,,,685.0
2015/16,5 to 9,,Individuals,,,,,,,825.0
2016/17,5 to 9,,Individuals,,,,,,,1050.0
2017/18,5 to 9,,Individuals,,,,,,,885.0
2018/19,5 to 9,,Individuals,,,,,,,805.0
2015/16,10 to 14,,Individuals,,,,,,,175.0
2016/17,10 to 14,,Individuals,,,,,,,235.0
2017/18,10 to 14,,Individuals,,,,,,,210.0
2018/19,10 to 14,,Individuals,,,,,,,170.0
2015/16,15 to 17,,Individuals,,,,,,,20.0
2016/17,15 to 17,,Individuals,,,,,,,30.0
2017/18,15 to 17,,Individuals,,,,,,,20.0
2018/19,15 to 17,,Individuals,,,,,,,25.0
2015/16,18 and over,,Individuals,,,,,,,130.0
2016/17,18 and over,,Individuals,,,,,,,160.0
2017/18,18 and over,,Individuals,,,,,,,295.0
2018/19,18 and over,,Individuals,,,,,,,455.0
2015/16,,Not recorded,Individuals,,,,,,,2225.0
2016/17,,Not recorded,Individuals,,,,,,,2070.0
2017/18,,Not recorded,Individuals,,,,,,,1690.0
2018/19,,Not recorded,Individuals,,,,,,,1580.0
2015/16,,Not known,Individuals,,,,,,,1135.0
2016/17,,Not known,Individuals,,,,,,,1200.0
2017/18,,Not known,Individuals,,,,,,,1045.0
2018/19,,Not known,Individuals,,,,,,,1120.0
2015/16,,Eastern Africa,Individuals,,,,,,,1585.0
2016/17,,Eastern Africa,Individuals,,,,,,,1915.0
2017/18,,Eastern Africa,Individuals,,,,,,,1780.0
2018/19,,Eastern Africa,Individuals,,,,,,,1920.0
2015/16,,Northern Africa,Individuals,,,,,,,325.0
2016/17,,Northern Africa,Individuals,,,,,,,420.0
2017/18,,Northern Africa,Individuals,,,,,,,440.0
2018/19,,Northern Africa,Individuals,,,,,,,540.0
2015/16,,Western Africa,Individuals,,,,,,,665.0
2016/17,,Western Africa,Individuals,,,,,,,665.0
2017/18,,Western Africa,Individuals,,,,,,,805.0
2018/19,,Western Africa,Individuals,,,,,,,745.0
2015/16,,Rest of Africa,Individuals,,,,,,,15.0
2016/17,,Rest of Africa,Individuals,,,,,,,25.0
2017/18,,Rest of Africa,Individuals,,,,,,,40.0
2018/19,,Rest of Africa,Individuals,,,,,,,15.0
2015/16,,United Kingdom,Individuals,,,,,,,45.0
2016/17,,United Kingdom,Individuals,,,,,,,120.0
2017/18,,United Kingdom,Individuals,,,,,,,145.0
2018/19,,United Kingdom,Individuals,,,,,,,150.0
2015/16,,Western Asia,Individuals,,,,,,,135.0
2016/17,,Western Asia,Individuals,,,,,,,175.0
2017/18,,Western Asia,Individuals,,,,,,,235.0
2018/19,,Western Asia,Individuals,,,,,,,240.0
2015/16,,Rest of Asia,Individuals,,,,,,,35.0
2016/17,,Rest of Asia,Individuals,,,,,,,60.0
2017/18,,Rest of Asia,Individuals,,,,,,,45.0
2018/19,,Rest of Asia,Individuals,,,,,,,70.0
2015/16,,Other,Individuals,,,,,,,20.0
2016/17,,Other,Individuals,,,,,,,25.0
2017/18,,Other,Individuals,,,,,,,35.0
2018/19,,Other,Individuals,,,,,,,35.0
2015/16,,,Individuals,,Not recorded,,,,,230.0
2016/17,,,Individuals,,Not recorded,,,,,280.0
2017/18,,,Individuals,,Not recorded,,,,,190.0
2018/19,,,Individuals,,Not recorded,,,,,250.0
2015/16,,,Individuals,,Not known,,,,,2655.0
2016/17,,,Individuals,,Not known,,,,,2740.0
2017/18,,,Individuals,,Not known,,,,,2620.0
2018/19,,,Individuals,,Not known,,,,,2365.0
2015/16,,,Individuals,,Type 1,,,,,1185.0
2016/17,,,Individuals,,Type 1,,,,,1315.0
2017/18,,,Individuals,,Type 1,,,,,1350.0
2018/19,,,Individuals,,Type 1,,,,,1435.0
2015/16,,,Individuals,,Type 2,,,,,1040.0
2016/17,,,Individuals,,Type 2,,,,,1075.0
2017/18,,,Individuals,,Type 2,,,,,905.0
2018/19,,,Individuals,,Type 2,,,,,1050.0
2015/16,,,Individuals,,Type 3,,,,,720.0
2016/17,,,Individuals,,Type 3,,,,,780.0
2017/18,,,Individuals,,Type 3,,,,,685.0
2018/19,,,Individuals,,Type 3,,,,,830.0
2015/16,,,Individuals,,Type 4,,,,,140.0
2016/17,,,Individuals,,Type 4,,,,,275.0
2017/18,,,Individuals,,Type 4,,,,,345.0
2018/19,,,Individuals,,Type 4,,,,,320.0
2015/16,,,Individuals,,History of type 3,,,,,140.0
2016/17,,,Individuals,,History of type 3,,,,,150.0
2017/18,,,Individuals,,History of type 3,,,,,125.0
2018/19,,,Individuals,,History of type 3,,,,,120.0
2015/16,,,Individuals,,Type 3 reinfibulation identified,,,,,85.0
2016/17,,,Individuals,,Type 3 reinfibulation identified,,,,,50.0
2017/18,,,Individuals,,Type 3 reinfibulation identified,,,,,40.0
2018/19,,,Individuals,,Type 3 reinfibulation identified,,,,,50.0
2018/2019,,,Individuals,Adur District Council,,,,,,0.0
2018/2019,,,Individuals,Allerdale Borough Council,,,,,,0.0
2018/2019,,,Individuals,Amber Valley Borough Council,,,,,,0.0
2018/2019,,,Individuals,Arun District Council,,,,,,0.0
2018/2019,,,Individuals,Ashfield District Council,,,,,,0.0
2018/2019,,,Individuals,Ashford Borough Council,,,,,,0.0
2018/2019,,,Individuals,Aylesbury Vale District Council,,,,,,0.0
2018/2019,,,Individuals,Babergh District Council,,,,,,0.0
2018/2019,,,Individuals,Barnsley Metropolitan Borough Council,,,,,,5.0
2018/2019,,,Individuals,Barrow-In-Furness Borough Council,,,,,,0.0
2018/2019,,,Individuals,Basildon District Council,,,,,,0.0
2018/2019,,,Individuals,Basingstoke and Deane Borough Council,,,,,,0.0
2018/2019,,,Individuals,Bassetlaw District Council,,,,,,0.0
2018/2019,,,Individuals,Bath and North East Somerset Council,,,,,,5.0
2018/2019,,,Individuals,Bedford Borough Council,,,,,,10.0
2018/2019,,,Individuals,Birmingham City Council,,,,,,620.0
2018/2019,,,Individuals,Blaby District Council,,,,,,0.0
2018/2019,,,Individuals,Blackburn with Darwen Borough Council,,,,,,10.0
2018/2019,,,Individuals,Blackpool Borough Council,,,,,,5.0
2018/2019,,,Individuals,Bolsover District Council,,,,,,0.0
2018/2019,,,Individuals,Bolton Metropolitan Borough Council,,,,,,150.0
2018/2019,,,Individuals,Borough of Poole Council,,,,,,0.0
2018/2019,,,Individuals,Boston Borough Council,,,,,,0.0
