Year,Series,Legislative authority,Observation status,Unit multiplier,Units,Value
1918,National parliament,House of Commons,Undefined,Units,Percentage (%),0.1
1922,National parliament,House of Commons,Undefined,Units,Percentage (%),0.3
1923,National parliament,House of Commons,Undefined,Units,Percentage (%),1.3
1924,National parliament,House of Commons,Undefined,Units,Percentage (%),0.7
1929,National parliament,House of Commons,Undefined,Units,Percentage (%),2.3
1931,National parliament,House of Commons,Undefined,Units,Percentage (%),2.4
1935,National parliament,House of Commons,Undefined,Units,Percentage (%),1.5
1945,National parliament,House of Commons,Undefined,Units,Percentage (%),3.8
1950,National parliament,House of Commons,Undefined,Units,Percentage (%),3.4
1951,National parliament,House of Commons,Undefined,Units,Percentage (%),2.7
1955,National parliament,House of Commons,Undefined,Units,Percentage (%),3.8
1959,National parliament,House of Commons,Undefined,Units,Percentage (%),4.0
1964,National parliament,House of Commons,Undefined,Units,Percentage (%),4.6
1966,National parliament,House of Commons,Undefined,Units,Percentage (%),4.1
1970,National parliament,House of Commons,Undefined,Units,Percentage (%),4.1
1974a,National parliament,House of Commons,Undefined,Units,Percentage (%),3.6
1974b,National parliament,House of Commons,Undefined,Units,Percentage (%),4.3
1979,National parliament,House of Commons,Undefined,Units,Percentage (%),3.0
1983,National parliament,House of Commons,Undefined,Units,Percentage (%),3.5
1987,National parliament,House of Commons,Undefined,Units,Percentage (%),6.3
1992,National parliament,House of Commons,Undefined,Units,Percentage (%),9.2
1997,National parliament,House of Commons,Undefined,Units,Percentage (%),18.2
2001,National parliament,House of Commons,Undefined,Units,Percentage (%),17.9
2005,National parliament,House of Commons,Undefined,Units,Percentage (%),19.8
2010,National parliament,House of Commons,Undefined,Units,Percentage (%),22.0
2015,National parliament,House of Commons,Undefined,Units,Percentage (%),29.4
2017,National parliament,House of Commons,Undefined,Units,Percentage (%),31.8952234206
2019,National parliament,House of Commons,Undefined,Units,Percentage (%),34.0
1958,National parliament,House of Lords,Undefined,Units,Percentage (%),0.452488687783
1959,National parliament,House of Lords,Undefined,Units,Percentage (%),0.555555555556
1960,National parliament,House of Lords,Undefined,Units,Percentage (%),0.551876379691
1961,National parliament,House of Lords,Undefined,Units,Percentage (%),0.653594771242
1962,National parliament,House of Lords,Undefined,Units,Percentage (%),0.751879699248
1963,National parliament,House of Lords,Undefined,Units,Percentage (%),0.758396533044
1964,National parliament,House of Lords,Undefined,Units,Percentage (%),2.66666666667
1965,National parliament,House of Lords,Undefined,Units,Percentage (%),3.03921568627
1966,National parliament,House of Lords,Undefined,Units,Percentage (%),3.38164251208
1967,National parliament,House of Lords,Undefined,Units,Percentage (%),3.52716873213
1968,National parliament,House of Lords,Undefined,Units,Percentage (%),3.58152686145
1969,National parliament,House of Lords,Undefined,Units,Percentage (%),3.47744360902
1970,National parliament,House of Lords,Undefined,Units,Percentage (%),3.78927911275
1971,National parliament,House of Lords,Undefined,Units,Percentage (%),4.07784986098
1972,National parliament,House of Lords,Undefined,Units,Percentage (%),4.08921933086
1973,National parliament,House of Lords,Undefined,Units,Percentage (%),4.27112349118
1974,National parliament,House of Lords,Undefined,Units,Percentage (%),4.15913200723
1975,National parliament,House of Lords,Undefined,Units,Percentage (%),4.6511627907
1976,National parliament,House of Lords,Undefined,Units,Percentage (%),4.83729111697
1977,National parliament,House of Lords,Undefined,Units,Percentage (%),4.82456140351
1978,National parliament,House of Lords,Undefined,Units,Percentage (%),4.7619047619
1979,National parliament,House of Lords,Undefined,Units,Percentage (%),5.204778157
1980,National parliament,House of Lords,Undefined,Units,Percentage (%),5.04273504274
1981,National parliament,House of Lords,Undefined,Units,Percentage (%),5.26762956669
1982,National parliament,House of Lords,Undefined,Units,Percentage (%),5.27210884354
1983,National parliament,House of Lords,Undefined,Units,Percentage (%),5.36013400335
1985,National parliament,House of Lords,Undefined,Units,Percentage (%),5.45144804089
1986,National parliament,House of Lords,Undefined,Units,Percentage (%),5.46541417592
1987,National parliament,House of Lords,Undefined,Units,Percentage (%),5.65400843882
1988,National parliament,House of Lords,Undefined,Units,Percentage (%),5.48523206751
1989,National parliament,House of Lords,Undefined,Units,Percentage (%),5.49450549451
1990,National parliament,House of Lords,Undefined,Units,Percentage (%),6.15514333895
1991,National parliament,House of Lords,Undefined,Units,Percentage (%),6.6889632107
1992,National parliament,House of Lords,Undefined,Units,Percentage (%),6.4381270903
1993,National parliament,House of Lords,Undefined,Units,Percentage (%),6.54515327258
1994,National parliament,House of Lords,Undefined,Units,Percentage (%),6.64451827243
1995,National parliament,House of Lords,Undefined,Units,Percentage (%),6.63865546218
1996,National parliament,House of Lords,Undefined,Units,Percentage (%),7.12510356255
1997,National parliament,House of Lords,Undefined,Units,Percentage (%),7.14285714286
1998,National parliament,House of Lords,Undefined,Units,Percentage (%),7.94140323824
1999,National parliament,House of Lords,Undefined,Units,Percentage (%),8.90566037736
2000,National parliament,House of Lords,Undefined,Units,Percentage (%),15.873015873
2001,National parliament,House of Lords,Undefined,Units,Percentage (%),16.2002945508
2002,National parliament,House of Lords,Undefined,Units,Percentage (%),16.2824207493
2003,National parliament,House of Lords,Undefined,Units,Percentage (%),16.568914956
2004,National parliament,House of Lords,Undefined,Units,Percentage (%),17.8217821782
2005,National parliament,House of Lords,Undefined,Units,Percentage (%),17.7053824363
2006,National parliament,House of Lords,Undefined,Units,Percentage (%),18.9081225033
2007,National parliament,House of Lords,Undefined,Units,Percentage (%),19.5739014647
2008,National parliament,House of Lords,Undefined,Units,Percentage (%),19.8924731183
2009,National parliament,House of Lords,Undefined,Units,Percentage (%),20.1086956522
2010,National parliament,House of Lords,Undefined,Units,Percentage (%),20.0
2012,National parliament,House of Lords,Undefined,Units,Percentage (%),22.0048899756
2013,National parliament,House of Lords,Undefined,Units,Percentage (%),22.2222222222
2014,National parliament,House of Lords,Undefined,Units,Percentage (%),23.0492196879
2015,National parliament,House of Lords,Undefined,Units,Percentage (%),23.7247924081
2016,National parliament,House of Lords,Undefined,Units,Percentage (%),25.5621301775
2017,National parliament,House of Lords,Undefined,Units,Percentage (%),26.1077844311
2018,National parliament,House of Lords,Undefined,Units,Percentage (%),26.21951219512195
2019,National parliament,House of Lords,Undefined,Units,Percentage (%),26.666666666666668
2020,National parliament,House of Lords,Undefined,Units,Percentage (%),27.373612823674478
2021,National parliament,House of Lords,Undefined,Units,Percentage (%),27.66217870257038
2022,National parliament,House of Lords,Undefined,Units,Percentage (%),27.995110024449875
1999,Devolved administration,Senedd Cymru/Welsh Parliament,Undefined,Units,Percentage (%),40.0
2003,Devolved administration,Senedd Cymru/Welsh Parliament,Undefined,Units,Percentage (%),50.0
2007,Devolved administration,Senedd Cymru/Welsh Parliament,Undefined,Units,Percentage (%),46.6666666666666
2011,Devolved administration,Senedd Cymru/Welsh Parliament,Undefined,Units,Percentage (%),41.6666666666666
2016,Devolved administration,Senedd Cymru/Welsh Parliament,Undefined,Units,Percentage (%),41.6666666666666
2021,Devolved administration,Senedd Cymru/Welsh Parliament,Undefined,Units,Percentage (%),43.0
1999,Devolved administration,Scottish Parliament/Pàrlamaid na h-Alba,Undefined,Units,Percentage (%),37.2093023255814
2003,Devolved administration,Scottish Parliament/Pàrlamaid na h-Alba,Undefined,Units,Percentage (%),39.5348837209302
2007,Devolved administration,Scottish Parliament/Pàrlamaid na h-Alba,Undefined,Units,Percentage (%),33.3333333333333
2011,Devolved administration,Scottish Parliament/Pàrlamaid na h-Alba,Undefined,Units,Percentage (%),34.8837209302325
2016,Devolved administration,Scottish Parliament/Pàrlamaid na h-Alba,Undefined,Units,Percentage (%),34.8837209302325
2021,Devolved administration,Scottish Parliament/Pàrlamaid na h-Alba,Undefined,Units,Percentage (%),44.96124031007752
1998,Devolved administration,Northern Ireland Assembly,Undefined,Units,Percentage (%),12.9629629629629
2003,Devolved administration,Northern Ireland Assembly,Undefined,Units,Percentage (%),16.6666666666666
2007,Devolved administration,Northern Ireland Assembly,Undefined,Units,Percentage (%),16.6666666666666
2011,Devolved administration,Northern Ireland Assembly,Undefined,Units,Percentage (%),18.5185185185185
2016,Devolved administration,Northern Ireland Assembly,Undefined,Units,Percentage (%),27.7777777777777
2017,Devolved administration,Northern Ireland Assembly,Undefined,Units,Percentage (%),30.0
1997,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),27.8
2001,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),28.5
2004,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),29.1
2006,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),29.3
2008,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),30.8
2010,Local Government,English Local Authority Councillors,Undefined,Units,Percentage (%),30.6
