Year,Series,Renewable and waste source,Observation status,Unit multiplier,Units,Value
1990,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),0.7
1991,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),0.7000000000000001
1992,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),0.7000000000000001
1993,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),0.8
1994,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.0
1995,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.0999999999999999
1996,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.0999999999999999
1997,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.2
1998,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.2
1999,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.3
2000,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.4000000000000001
2001,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.4000000000000001
2002,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.6
2003,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.7000000000000002
2004,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),1.9
2005,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),2.1
2006,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),2.3
2007,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),2.5
2008,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),3.0
2009,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),3.5999999999999996
2010,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),3.9
2011,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),4.5
2012,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),4.9
2013,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),5.800000000000001
2014,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),7.199999999999999
2015,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),8.5
2016,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),9.0
2017,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),10.100000000000001
2018,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),11.200000000000001
2019,Renewable energy share in the total final energy consumption,,Normal,Units,Percentage (%),12.5
1990,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal,Units,Percentage (%),0.19943907759426613
1990,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal,Units,Percentage (%),0.00044517651248720115
1990,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal,Units,Percentage (%),0.00044517651248720115
1990,Renewable energy share in the total final energy consumption,Landfill gas,Normal,Units,Percentage (%),0.035614120998976095
1990,Renewable energy share in the total final energy consumption,Sewage gas,Normal,Units,Percentage (%),0.061434358723233766
1990,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal,Units,Percentage (%),0.0814673017851578
1990,Renewable energy share in the total final energy consumption,Poultry litter,Normal,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Straw,Normal,Units,Percentage (%),0.0031162355874104083
1990,Renewable energy share in the total final energy consumption,Wood,Normal,Units,Percentage (%),0.24084049325557585
1990,Renewable energy share in the total final energy consumption,Charcoal,Normal,Units,Percentage (%),0.017361883987000844
1990,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Bioethanol,Normal,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Biodiesel,Normal,Units,Percentage (%),0.0
1990,Renewable energy share in the total final energy consumption,Biomass,Normal,Units,Percentage (%),0.028936473311668078
1990,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal,Units,Percentage (%),0.17259098970958747
1991,Renewable energy share in the total final energy consumption,"Wind, wave, tidal",Normal,Units,Percentage (%),0.0004336457027879082
1991,Renewable energy share in the total final energy consumption,Solar photovoltaic,Normal,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Geothermal aquifers,Normal,Units,Percentage (%),0.0004336457027879082
1991,Renewable energy share in the total final energy consumption,Landfill gas,Normal,Units,Percentage (%),0.04553279879273036
1991,Renewable energy share in the total final energy consumption,Sewage gas,Normal,Units,Percentage (%),0.06548050112097414
1991,Renewable energy share in the total final energy consumption,Biogas from autogen,Normal,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Municipal solid waste (MSW),Normal,Units,Percentage (%),0.08022445501576302
1991,Renewable energy share in the total final energy consumption,Poultry litter,Normal,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Straw,Normal,Units,Percentage (%),0.0030355199195153575
1991,Renewable energy share in the total final energy consumption,Wood,Normal,Units,Percentage (%),0.24717805058910766
1991,Renewable energy share in the total final energy consumption,Charcoal,Normal,Units,Percentage (%),0.015611245300364694
1991,Renewable energy share in the total final energy consumption,Liquid bio-fuels,Normal,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Bioethanol,Normal,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Biodiesel,Normal,Units,Percentage (%),0.0
1991,Renewable energy share in the total final energy consumption,Biomass,Normal,Units,Percentage (%),0.028186970681214035
1991,Renewable energy share in the total final energy consumption,Cross-boundary Adjustment,Normal,Units,Percentage (%),0.0
1992,Renewable energy share in the total final energy consumption,Hydroelectric power,Normal,Units,Percentage (%),0.20489196007458596
