Year,Series,Material category,Observation status,Unit multiplier,Units,Value
1990,Material footprint,,Normal value,Millions,Metric tons,1085.413
1991,Material footprint,,Normal value,Millions,Metric tons,1062.829
1992,Material footprint,,Normal value,Millions,Metric tons,965.168
1993,Material footprint,,Normal value,Millions,Metric tons,933.888
1994,Material footprint,,Normal value,Millions,Metric tons,927.691
1995,Material footprint,,Normal value,Millions,Metric tons,866.457
1996,Material footprint,,Normal value,Millions,Metric tons,941.921
1997,Material footprint,,Normal value,Millions,Metric tons,1145.467
1998,Material footprint,,Normal value,Millions,Metric tons,1331.521
1999,Material footprint,,Normal value,Millions,Metric tons,1393.502
2000,Material footprint,,Normal value,Millions,Metric tons,1365.742
2001,Material footprint,,Normal value,Millions,Metric tons,1427.904
2002,Material footprint,,Normal value,Millions,Metric tons,1344.47
2003,Material footprint,,Normal value,Millions,Metric tons,1309.612
2004,Material footprint,,Normal value,Millions,Metric tons,1464.399
2005,Material footprint,,Normal value,Millions,Metric tons,1365.497
2006,Material footprint,,Normal value,Millions,Metric tons,1352.15
2007,Material footprint,,Normal value,Millions,Metric tons,1302.617
2008,Material footprint,,Normal value,Millions,Metric tons,1156.109
2009,Material footprint,,Normal value,Millions,Metric tons,1012.619
2010,Material footprint,,Normal value,Millions,Metric tons,954.336
2011,Material footprint,,Normal value,Millions,Metric tons,964.866
2012,Material footprint,,Normal value,Millions,Metric tons,951.984
2013,Material footprint,,Normal value,Millions,Metric tons,1024.069
2014,Material footprint,,Normal value,Millions,Metric tons,1112.38
2015,Material footprint,,Normal value,Millions,Metric tons,1195.637
2016,Material footprint,,Normal value,Millions,Metric tons,1070.756
2017,Material footprint,,Normal value,Millions,Metric tons,970.509
2018,Material footprint,,Normal value,Millions,Metric tons,971.213
1990,Material footprint per capita,,Normal value,Units,Metric tons,19.0
1991,Material footprint per capita,,Normal value,Units,Metric tons,18.5
1992,Material footprint per capita,,Normal value,Units,Metric tons,16.8
1993,Material footprint per capita,,Normal value,Units,Metric tons,16.2
1994,Material footprint per capita,,Normal value,Units,Metric tons,16.0
1995,Material footprint per capita,,Normal value,Units,Metric tons,14.9
1996,Material footprint per capita,,Normal value,Units,Metric tons,16.2
1997,Material footprint per capita,,Normal value,Units,Metric tons,19.6
1998,Material footprint per capita,,Normal value,Units,Metric tons,22.8
1999,Material footprint per capita,,Normal value,Units,Metric tons,23.7
2000,Material footprint per capita,,Normal value,Units,Metric tons,23.2
2001,Material footprint per capita,,Normal value,Units,Metric tons,24.2
2002,Material footprint per capita,,Normal value,Units,Metric tons,22.6
2003,Material footprint per capita,,Normal value,Units,Metric tons,22.0
2004,Material footprint per capita,,Normal value,Units,Metric tons,24.4
2005,Material footprint per capita,,Normal value,Units,Metric tons,22.6
2006,Material footprint per capita,,Normal value,Units,Metric tons,22.2
2007,Material footprint per capita,,Normal value,Units,Metric tons,21.2
2008,Material footprint per capita,,Normal value,Units,Metric tons,18.7
2009,Material footprint per capita,,Normal value,Units,Metric tons,16.3
2010,Material footprint per capita,,Normal value,Units,Metric tons,15.2
2011,Material footprint per capita,,Normal value,Units,Metric tons,15.2
2012,Material footprint per capita,,Normal value,Units,Metric tons,14.9
2013,Material footprint per capita,,Normal value,Units,Metric tons,16.0
2014,Material footprint per capita,,Normal value,Units,Metric tons,17.2
2015,Material footprint per capita,,Normal value,Units,Metric tons,18.4
2016,Material footprint per capita,,Normal value,Units,Metric tons,16.3
2017,Material footprint per capita,,Normal value,Units,Metric tons,14.7
2018,Material footprint per capita,,Normal value,Units,Metric tons,14.6
1990,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.37387821257518283
1991,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.39475416491297555
1992,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3682829031348742
1993,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.35715418647574165
1994,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3462403362831241
1995,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3230794548210983
1996,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3567989514358406
1997,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4130527845707805
1998,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.467765560991485
1999,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.47836028802819364
2000,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4612367523640409
2001,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4746481508568759
2002,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.44659416391991197
2003,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4310011682599955
2004,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.48310656590434287
2005,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.44936516153966427
2006,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.4454631785404255
2007,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.43056860709261874
2008,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.39501181926737855
2009,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.36666266872865494
2010,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.34397685018858637
2011,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.350490671476701
2012,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3465802112819903
2013,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.37134337097914416
2014,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.39892962629268897
2015,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.42165879598944384
2016,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3792097010578036
2017,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.3443750369267354
2018,Material footprint per unit of GDP,,Normal value,Units,Kilograms per constant USD,0.34801831929575994
