Year,Series,Units,Material category,Observation status,Unit multiplier,Value
2000,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,175.26270000000002
2001,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,168.8858
2002,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,175.2722
2003,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,170.6331
2004,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,173.85979999999998
2005,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,172.35
2006,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,167.6474
2007,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,161.9503
2008,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,169.2388
2009,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,163.6012
2010,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,160.5664
2011,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,165.00920000000002
2012,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,159.18079999999998
2013,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,169.7735
2014,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,181.1643
2015,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,174.8206
2016,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,168.5528
2017,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,182.7068
2018,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,174.939
2019,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,187.0352
2020,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,170.1276
2021,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,186.1061
2000,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,240.5941
2001,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,242.22879999999998
2002,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,231.5079
2003,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,244.3175
2004,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,254.15970000000002
2005,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,250.8314
2006,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,245.6987
2007,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,239.39520000000002
