Year,Performing/Funding,Country,Region,Sector,Source,Source sub-category,Product group,Unit measure,GeoCode,Value
2016,Performing research and development,England,North West,Private Non-Profit,,,,Percentage (%),E12000002,5.02733108545e-05
2015,Performing research and development,England,North West,Private Non-Profit,,,,Percentage (%),E12000002,5.228834722809e-05
2014,Performing research and development,Wales,,Private Non-Profit,,,,Percentage (%),W92000004,5.39069318384581e-05
2013,Performing research and development,Wales,,Private Non-Profit,,,,Percentage (%),W92000004,5.61371993151261e-05
2011,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,6.05924732029787e-05
2010,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,6.22431691234045e-05
2007,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,6.41540929990562e-05
2009,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,6.46355170873684e-05
2006,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,6.72255349471943e-05
2005,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,7.07744637241947e-05
2017,Performing research and development,England,East Midlands,Private Non-Profit,,,,Percentage (%),E12000004,9.70662219739484e-05
2015,Performing research and development,Wales,,Private Non-Profit,,,,Percentage (%),W92000004,0.00010457669445618
2014,Performing research and development,England,East Midlands,Private Non-Profit,,,,Percentage (%),E12000004,0.000107813863676916
2013,Performing research and development,England,East Midlands,Private Non-Profit,,,,Percentage (%),E12000004,0.000112274398630252
2012,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,0.000116912231065333
2012,Performing research and development,Wales,,Private Non-Profit,,,,Percentage (%),W92000004,0.000116912231065333
2011,Performing research and development,Wales,,Private Non-Profit,,,,Percentage (%),W92000004,0.000121184946405957
2008,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,0.00012791363271519
2006,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),,0.000134451069894388
2005,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),,0.000141548927448389
2005,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,0.000141548927448389
2017,Performing research and development,England,Yorkshire and The Humber,Private Non-Profit,,,,Percentage (%),E12000003,0.000145599332960922
2004,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.000150611596038613
2004,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,0.000150611596038613
2003,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.000157673371726799
2003,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,0.000157673371726799
2014,Performing research and development,England,Yorkshire and The Humber,Private Non-Profit,,,,Percentage (%),E12000003,0.000161720795515374
2013,Performing research and development,England,Yorkshire and The Humber,Private Non-Profit,,,,Percentage (%),E12000003,0.000168411597945378
2012,Performing research and development,England,Yorkshire and The Humber,Private Non-Profit,,,,Percentage (%),E12000003,0.000175368346598
2011,Performing research and development,England,Yorkshire and The Humber,Private Non-Profit,,,,Percentage (%),E12000003,0.000181777419608936
2010,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),,0.000186729507370213
2008,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.000191870449072786
2008,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,0.000191870449072786
2007,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.000192462278997168
2009,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,0.000193906551262105
2016,Performing research and development,England,Yorkshire and The Humber,Private Non-Profit,,,,Percentage (%),E12000003,0.000201093243417841
2006,Performing research and development,England,North East,Government,,,,Percentage (%),E12000001,0.000201676604841583
2015,Performing research and development,England,Yorkshire and The Humber,Private Non-Profit,,,,Percentage (%),E12000003,0.00020915338891236
2014,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,0.000215627727353832
2013,Performing research and development,England,West Midlands,Government,,,,Percentage (%),E12000005,0.000224548797260504
2003,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),,0.000236510057590199
2002,Performing research and development,,,Business Enterprise,,,"Sewerage, waste management, remediation activities",Percentage (%),,0.000249871732510644
2009,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),,0.000258542068349473
2012,Performing research and development,England,East Midlands,Private Non-Profit,,,,Percentage (%),E12000004,0.000292280577663333
2012,Performing research and development,England,West Midlands,Private Non-Profit,,,,Percentage (%),E12000005,0.000292280577663333
2004,Performing research and development,,,Business Enterprise,,,Non-ferrous metals,Percentage (%),,0.000301223192077227
2011,Performing research and development,England,East Midlands,Private Non-Profit,,,,Percentage (%),E12000004,0.000302962366014893
2011,Performing research and development,England,West Midlands,Private Non-Profit,,,,Percentage (%),E12000005,0.000302962366014893
2003,Performing research and development,,,Business Enterprise,,,Non-ferrous metals,Percentage (%),,0.000315346743453598
2002,Funding research and development,,,Business Enterprise,Other,,,Percentage (%),,0.000333162310014192
