Year,Flow of Official Development Assistance (ODA),Aid Category (DAC 5 Code),Aid Subcategory (DAC 5 Code),Aid Description (CRS Code),Value
2009,Bilateral,Economic Infrastructure and Services (200),,,525824.5700000002
2010,Bilateral,Economic Infrastructure and Services (200),,,358522.611994
2011,Bilateral,Economic Infrastructure and Services (200),,,546585.348854
2012,Bilateral,Economic Infrastructure and Services (200),,,597359.9084410002
2013,Bilateral,Economic Infrastructure and Services (200),,,487080.958214
2014,Bilateral,Economic Infrastructure and Services (200),,,396384.18451199995
2015,Bilateral,Economic Infrastructure and Services (200),,,888545.0512680002
2016,Bilateral,Economic Infrastructure and Services (200),,,826430.9587199999
2010,Multilateral,Economic Infrastructure and Services (200),,,423041.93855834816
2011,Multilateral,Economic Infrastructure and Services (200),,,675666.0975494552
2012,Multilateral,Economic Infrastructure and Services (200),,,641173.4348451515
2013,Multilateral,Economic Infrastructure and Services (200),,,1052652.0431179847
2014,Multilateral,Economic Infrastructure and Services (200),,,1117087.0694267252
2015,Multilateral,Economic Infrastructure and Services (200),,,1071773.9667367397
2016,Multilateral,Economic Infrastructure and Services (200),,,868972.459834044
2010,,Economic Infrastructure and Services (200),,,781564.5505523481
2011,,Economic Infrastructure and Services (200),,,1222251.4464034552
2012,,Economic Infrastructure and Services (200),,,1238533.3432861515
2013,,Economic Infrastructure and Services (200),,,1539733.0013319845
2014,,Economic Infrastructure and Services (200),,,1513471.2539387252
2015,,Economic Infrastructure and Services (200),,,1960319.01800474
2016,,Economic Infrastructure and Services (200),,,1695403.4185540439
2009,Bilateral,Banking and Financial Services (240),,,318119.4200000001
2009,Bilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),1011.8399999999999
2009,Bilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),88059.06
2009,Bilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),228614.00000000012
2009,Bilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),0.21
2009,Bilateral,Banking and Financial Services (240),,Monetary institutions (24020),434.31000000000006
2010,Bilateral,Banking and Financial Services (240),,,70879.20332100001
2010,Bilateral,Banking and Financial Services (240),,Education/training in banking & financial services (24081),1203.9429499999999
2010,Bilateral,Banking and Financial Services (240),,Financial policy & administrative management (24010),24371.450769999996
2010,Bilateral,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),41283.959023
2010,Bilateral,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),4235.35982
