Year,Sex,Age,Ethnicity,Disability status,Region,Urban or rural,Citizenship,Household income,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013/14,,,,,,,,,Undefined,Units,Percentage (%),,26.0
2013/14,Male,,,,,,,,Undefined,Units,Percentage (%),,28.0
2013/14,Female,,,,,,,,Undefined,Units,Percentage (%),,24.0
2013/14,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,24.0
2013/14,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,25.0
2013/14,,35 to 49,,,,,,,Undefined,Units,Percentage (%),,28.0
2013/14,,50 to 64,,,,,,,Undefined,Units,Percentage (%),,26.0
2013/14,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,25.0
2013/14,,75 and over,,,,,,,Undefined,Units,Percentage (%),,26.0
2013/14,,,White,,,,,,Undefined,Units,Percentage (%),,24.0
2013/14,,,Asian,,,,,,Undefined,Units,Percentage (%),,39.0
2013/14,,,Black,,,,,,Undefined,Units,Percentage (%),,50.0
2013/14,,,Mixed,,,,,,Undefined,Units,Percentage (%),,32.0
2013/14,,,Other,,,,,,Undefined,Units,Percentage (%),,32.0
2013/14,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,25.0
2013/14,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,26.0
2013/14,,,,,North East,,,,Undefined,Units,Percentage (%),E12000001,22.0
2013/14,,,,,North West,,,,Undefined,Units,Percentage (%),E12000002,26.0
2013/14,,,,,Yorkshire and The Humber,,,,Undefined,Units,Percentage (%),E12000003,22.0
2013/14,,,,,East Midlands,,,,Undefined,Units,Percentage (%),E12000004,25.0
2013/14,,,,,West Midlands,,,,Undefined,Units,Percentage (%),E12000005,25.0
2013/14,,,,,East of England,,,,Undefined,Units,Percentage (%),E12000006,27.0
2013/14,,,,,London,,,,Undefined,Units,Percentage (%),E12000007,32.0
2013/14,,,,,South East,,,,Undefined,Units,Percentage (%),E12000008,24.0
2013/14,,,,,South West,,,,Undefined,Units,Percentage (%),E12000009,28.0
2013/14,,,,,,Urban,,,Undefined,Units,Percentage (%),,25.0
2013/14,,,,,,Rural,,,Undefined,Units,Percentage (%),,29.0
2014/15,,,,,,,,,Undefined,Units,Percentage (%),,25.0
2014/15,Male,,,,,,,,Undefined,Units,Percentage (%),,27.0
2014/15,Female,,,,,,,,Undefined,Units,Percentage (%),,24.0
2014/15,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,23.0
2014/15,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,22.0
2014/15,,35 to 49,,,,,,,Undefined,Units,Percentage (%),,28.0
2014/15,,50 to 64,,,,,,,Undefined,Units,Percentage (%),,26.0
2014/15,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,27.0
2014/15,,75 and over,,,,,,,Undefined,Units,Percentage (%),,25.0
2014/15,,,White,,,,,,Undefined,Units,Percentage (%),,24.0
2014/15,,,Asian,,,,,,Undefined,Units,Percentage (%),,44.0
2014/15,,,Mixed,,,,,,Undefined,Units,Percentage (%),,18.0
2014/15,,,,Disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,23.0
2014/15,,,,Non-disabled (GSS harmonised),,,,,Undefined,Units,Percentage (%),,27.0
2014/15,,,,,North East,,,,Undefined,Units,Percentage (%),E12000001,16.0
2014/15,,,,,North West,,,,Undefined,Units,Percentage (%),E12000002,21.0
2014/15,,,,,Yorkshire and The Humber,,,,Undefined,Units,Percentage (%),E12000003,23.0
2014/15,,,,,East Midlands,,,,Undefined,Units,Percentage (%),E12000004,30.0
2014/15,,,,,West Midlands,,,,Undefined,Units,Percentage (%),E12000005,22.0
2014/15,,,,,East of England,,,,Undefined,Units,Percentage (%),E12000006,27.0
2014/15,,,,,London,,,,Undefined,Units,Percentage (%),E12000007,32.0
2014/15,,,,,South East,,,,Undefined,Units,Percentage (%),E12000008,26.0
2014/15,,,,,South West,,,,Undefined,Units,Percentage (%),E12000009,26.0
2014/15,,,,,,Urban,,,Undefined,Units,Percentage (%),,24.0
2014/15,,,,,,Rural,,,Undefined,Units,Percentage (%),,32.0
2015/16,,,,,,,,,Undefined,Units,Percentage (%),,28.0
2015/16,Male,,,,,,,,Undefined,Units,Percentage (%),,29.0
2015/16,Female,,,,,,,,Undefined,Units,Percentage (%),,27.0
2015/16,,16 to 24,,,,,,,Undefined,Units,Percentage (%),,25.0
2015/16,,25 to 34,,,,,,,Undefined,Units,Percentage (%),,23.0
2015/16,,35 to 49,,,,,,,Undefined,Units,Percentage (%),,33.0
2015/16,,50 to 64,,,,,,,Undefined,Units,Percentage (%),,30.0
2015/16,,65 to 74,,,,,,,Undefined,Units,Percentage (%),,26.0
2015/16,,75 and over,,,,,,,Undefined,Units,Percentage (%),,23.0
2015/16,,,White,,,,,,Undefined,Units,Percentage (%),,25.0
2015/16,,,Asian,,,,,,Undefined,Units,Percentage (%),,45.0
2015/16,,,Black,,,,,,Undefined,Units,Percentage (%),,60.0
2015/16,,,Mixed,,,,,,Undefined,Units,Percentage (%),,34.0
