Year,Country,Sustainably managed status,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2004,England,,Normal value,percentage (%),Units,E92000001,9.74595518668
2004,England,Certified,Normal value,percentage (%),Units,E92000001,2.28886134105711
2004,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.45709384561819
2004,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2004,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.10772653151965
2004,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.3595047989017
2004,Scotland,,Normal value,percentage (%),Units,S92000003,17.3297028966467
2004,Scotland,Certified,Normal value,percentage (%),Units,S92000003,8.59949778797569
2004,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,8.73020510867105
2004,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.72125231855757
2004,,Certified,Normal value,percentage (%),Units,,4.77852973947397
2005,England,,Normal value,percentage (%),Units,E92000001,9.82269499129479
2005,England,Certified,Normal value,percentage (%),Units,E92000001,2.63754887170351
2005,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.18514611959127
2005,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2005,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.32896039800173
2005,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.13827093241962
2005,Scotland,,Normal value,percentage (%),Units,S92000003,17.4580710662515
2005,Scotland,Certified,Normal value,percentage (%),Units,S92000003,9.22581053389583
2005,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,8.23226053235571
2005,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.60024847765351
2005,,Certified,Normal value,percentage (%),Units,,5.17873676846429
2006,England,,Normal value,percentage (%),Units,E92000001,9.82269499129479
2006,England,Certified,Normal value,percentage (%),Units,E92000001,2.71334671925333
2006,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.10934827204146
2006,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2006,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.32370975800606
2006,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.14352157241529
2006,Scotland,,Normal value,percentage (%),Units,S92000003,17.4580710662515
2006,Scotland,Certified,Normal value,percentage (%),Units,S92000003,9.29860369080907
2006,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,8.15946737544247
2006,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.59879846158515
2006,,Certified,Normal value,percentage (%),Units,,5.24225729504843
2007,England,,Normal value,percentage (%),Units,E92000001,9.82269499129479
2007,England,Certified,Normal value,percentage (%),Units,E92000001,2.79227348051548
2007,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.03042151077931
2007,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2007,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.39393013337511
2007,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.07330119704624
2007,Scotland,,Normal value,percentage (%),Units,S92000003,17.5864392358563
2007,Scotland,Certified,Normal value,percentage (%),Units,S92000003,9.81135405874707
2007,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.77508517710926
2007,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.65139230551102
2007,,Certified,Normal value,percentage (%),Units,,5.45816764036793
2008,England,,Normal value,percentage (%),Units,E92000001,9.89943479591428
2008,England,Certified,Normal value,percentage (%),Units,E92000001,2.64956513525926
2008,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.24986966065502
2008,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2008,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.26732861774288
2008,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.19990271267847
2008,Scotland,,Normal value,percentage (%),Units,S92000003,17.5864392358563
2008,Scotland,Certified,Normal value,percentage (%),Units,S92000003,9.88450424841296
2008,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.70193498744337
2008,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.67187159388734
2008,,Certified,Normal value,percentage (%),Units,,5.39538163987656
2009,England,,Normal value,percentage (%),Units,E92000001,9.89943479591428
2009,England,Certified,Normal value,percentage (%),Units,E92000001,2.70506330856725
2009,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.19437148734703
2009,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2009,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.4493899737463
2009,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.01784135667505
2009,Scotland,,Normal value,percentage (%),Units,S92000003,17.7148074054611
2009,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.0223995566456
2009,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.69240784881555
2009,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.7168660199508
2009,,Certified,Normal value,percentage (%),Units,,5.48753789881881
2010,England,,Normal value,percentage (%),Units,E92000001,9.89943479591428
2010,England,Certified,Normal value,percentage (%),Units,E92000001,2.74091352961962
2010,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.15852126629466
2010,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2010,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.43664482568042
2010,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.03058650474093
2010,Scotland,,Normal value,percentage (%),Units,S92000003,17.7148074054611
2010,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.1727320036311
2010,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.54207540182998
2010,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.65089028884074
2010,,Certified,Normal value,percentage (%),Units,,5.55019074684465
2011,England,,Normal value,percentage (%),Units,E92000001,9.89943479591428
2011,England,Certified,Normal value,percentage (%),Units,E92000001,2.57246121710133
2011,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.32697357881295
2011,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2011,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.44293324889871
2011,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,8.02429808152264
2011,Scotland,,Normal value,percentage (%),Units,S92000003,17.7148074054611
2011,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.1638707488833
2011,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.5509366565778
2011,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.60057473126888
2011,,Certified,Normal value,percentage (%),Units,,5.45459497836297
2012,England,,Normal value,percentage (%),Units,E92000001,9.97617460053377
2012,England,Certified,Normal value,percentage (%),Units,E92000001,2.72406131504557
2012,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.2521132854882
2012,Wales,,Normal value,percentage (%),Units,W92000004,14.4672313304213
2012,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.66914914711476
2012,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,7.79808218330659
2012,Scotland,,Normal value,percentage (%),Units,S92000003,17.9715437446707
2012,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.3687688120022
2012,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.60277493266845
2012,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.68025311422489
2012,,Certified,Normal value,percentage (%),Units,,5.62558703263509
2013,England,,Normal value,percentage (%),Units,E92000001,9.97617460053377
