Year,Registered property use,Advertised speed (mb/sec),Unit measure,Unit multiplier,Observation status,Value
2008,,,Rate per 100 population,Units,Undefined,28.13361339
2009,,,Rate per 100 population,Units,Undefined,29.48064891
2010,,,Rate per 100 population,Units,Undefined,31.25007668
2011,,,Rate per 100 population,Units,Undefined,32.75291638
2012,,,Rate per 100 population,Units,Undefined,34.28647393
2013,,,Rate per 100 population,Units,Undefined,35.5769633
2014,,,Rate per 100 population,Units,Undefined,36.73528353
2015,,,Rate per 100 population,Units,Undefined,37.91502602
2016,,,Rate per 100 population,Units,Undefined,38.3707457
2008,Business,,Rate per 100 population,Units,Undefined,2.926544145
2008,Residential,,Rate per 100 population,Units,Undefined,25.20706925
2008,Residential,Less than 8,Rate per 100 population,Units,Undefined,8.527976981
2008,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,14.78173356
2009,Business,,Rate per 100 population,Units,Undefined,2.884466289
2009,Residential,,Rate per 100 population,Units,Undefined,26.59618262
2009,Residential,Less than 8,Rate per 100 population,Units,Undefined,8.010430799
2009,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,16.38975184
2010,Business,,Rate per 100 population,Units,Undefined,3.165911311
2010,Residential,,Rate per 100 population,Units,Undefined,28.08416537
2010,Residential,Less than 8,Rate per 100 population,Units,Undefined,1.123366615
2010,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,15.1654493
2010,Residential,10 to less than 30,Rate per 100 population,Units,Undefined,11.5145078
2010,Residential,30 to less than 100,Rate per 100 population,Units,Undefined,0.280841654
2010,Residential,100 and higher,Rate per 100 population,Units,Undefined,0.0
2011,Business,,Rate per 100 population,Units,Undefined,3.420105713
2011,Residential,,Rate per 100 population,Units,Undefined,29.33281067
2011,Residential,Less than 8,Rate per 100 population,Units,Undefined,0.325437106
2011,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,12.05403331
2011,Residential,10 to less than 30,Rate per 100 population,Units,Undefined,15.56346883
2011,Residential,30 to less than 100,Rate per 100 population,Units,Undefined,1.374596825
2011,Residential,100 and higher,Rate per 100 population,Units,Undefined,0.015274593
2012,Business,,Rate per 100 population,Units,Undefined,3.712646019
2012,Residential,,Rate per 100 population,Units,Undefined,30.57382791
2012,Residential,Less than 8,Rate per 100 population,Units,Undefined,0.245363764
2012,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,6.943892183
2012,Residential,10 to less than 30,Rate per 100 population,Units,Undefined,19.16620311
2012,Residential,30 to less than 100,Rate per 100 population,Units,Undefined,3.964610802
2012,Residential,100 and higher,Rate per 100 population,Units,Undefined,0.253758048
2013,Business,,Rate per 100 population,Units,Undefined,3.698156799
2013,Residential,,Rate per 100 population,Units,Undefined,31.87880651
2013,Residential,Less than 8,Rate per 100 population,Units,Undefined,0.079908352
2013,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,3.773690007
2013,Residential,10 to less than 30,Rate per 100 population,Units,Undefined,20.47090327
2013,Residential,30 to less than 100,Rate per 100 population,Units,Undefined,7.126384726
2013,Residential,100 and higher,Rate per 100 population,Units,Undefined,0.42792015
2014,Business,,Rate per 100 population,Units,Undefined,3.692603036
2014,Residential,,Rate per 100 population,Units,Undefined,33.0426805
2014,Residential,Less than 8,Rate per 100 population,Units,Undefined,0.048742008
2014,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,2.941094401
2014,Residential,10 to less than 30,Rate per 100 population,Units,Undefined,19.40238082
2014,Residential,30 to less than 100,Rate per 100 population,Units,Undefined,9.138265316
2014,Residential,100 and higher,Rate per 100 population,Units,Undefined,1.512197953
2015,Business,,Rate per 100 population,Units,Undefined,3.974342373
2015,Residential,,Rate per 100 population,Units,Undefined,33.94068365
2015,Residential,Less than 8,Rate per 100 population,Units,Undefined,0.0
2015,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,2.29275173
2015,Residential,10 to less than 30,Rate per 100 population,Units,Undefined,17.50601488
2015,Residential,30 to less than 100,Rate per 100 population,Units,Undefined,11.19007358
2015,Residential,100 and higher,Rate per 100 population,Units,Undefined,2.951843463
2016,Business,,Rate per 100 population,Units,Undefined,3.808596742
2016,Residential,,Rate per 100 population,Units,Undefined,34.56214895
2016,Residential,Less than 8,Rate per 100 population,Units,Undefined,0.0
2016,Residential,8 to less than 10,Rate per 100 population,Units,Undefined,1.589858852
2016,Residential,10 to less than 30,Rate per 100 population,Units,Undefined,16.00227497
2016,Residential,30 to less than 100,Rate per 100 population,Units,Undefined,13.31706977
2016,Residential,100 and higher,Rate per 100 population,Units,Undefined,3.652945368
