Year,Country,Sex,Age,Exposure category,Ethnicity,Unit measure,Observation status,Unit multiplier,GeoCode,Value
2000,,,,,,"Rate per 100,000 population",Undefined,Units,,6.74862550249
2001,,,,,,"Rate per 100,000 population",Undefined,Units,,8.685058464958038
2002,,,,,,"Rate per 100,000 population",Undefined,Units,,10.57176523060623
2003,,,,,,"Rate per 100,000 population",Undefined,Units,,12.21564010406887
2004,,,,,,"Rate per 100,000 population",Undefined,Units,,12.743875917083672
2005,,,,,,"Rate per 100,000 population",Undefined,Units,,13.124598639544065
2006,,,,,,"Rate per 100,000 population",Undefined,Units,,12.200180883587374
2007,,,,,,"Rate per 100,000 population",Undefined,Units,,11.839708932334675
2008,,,,,,"Rate per 100,000 population",Undefined,Units,,11.615273167091775
2009,,,,,,"Rate per 100,000 population",Undefined,Units,,10.544408535455377
2010,,,,,,"Rate per 100,000 population",Undefined,Units,,10.084536105602954
2011,,,,,,"Rate per 100,000 population",Undefined,Units,,9.751103517263015
2012,,,,,,"Rate per 100,000 population",Undefined,Units,,9.718227901313288
2013,,,,,,"Rate per 100,000 population",Undefined,Units,,9.331470200740796
2014,,,,,,"Rate per 100,000 population",Undefined,Units,,9.718754899627152
2015,,,,,,"Rate per 100,000 population",Undefined,Units,,9.631387997739337
2016,,,,,,"Rate per 100,000 population",Undefined,Units,,8.178460248037208
2017,,,,,,"Rate per 100,000 population",Undefined,Units,,7.209242112107153
2018,,,,,,"Rate per 100,000 population",Undefined,Units,,6.702736712498053
2000,,Male,,,,"Rate per 100,000 population",Undefined,Units,,8.807808870198969
2001,,Male,,,,"Rate per 100,000 population",Undefined,Units,,10.86283061226132
2002,,Male,,,,"Rate per 100,000 population",Undefined,Units,,12.39786131369906
2003,,Male,,,,"Rate per 100,000 population",Undefined,Units,,13.877968162457789
2004,,Male,,,,"Rate per 100,000 population",Undefined,Units,,15.0937115713233
2005,,Male,,,,"Rate per 100,000 population",Undefined,Units,,15.910105601464108
2006,,Male,,,,"Rate per 100,000 population",Undefined,Units,,15.06643275391408
2007,,Male,,,,"Rate per 100,000 population",Undefined,Units,,15.508918827211364
2008,,Male,,,,"Rate per 100,000 population",Undefined,Units,,15.108603234052955
2009,,Male,,,,"Rate per 100,000 population",Undefined,Units,,14.404459604972596
2010,,Male,,,,"Rate per 100,000 population",Undefined,Units,,14.020228212568604
2011,,Male,,,,"Rate per 100,000 population",Undefined,Units,,14.181314179490869
2012,,Male,,,,"Rate per 100,000 population",Undefined,Units,,14.325301605717502
2013,,Male,,,,"Rate per 100,000 population",Undefined,Units,,14.242212948768849
2014,,Male,,,,"Rate per 100,000 population",Undefined,Units,,14.713582719019762
2015,,Male,,,,"Rate per 100,000 population",Undefined,Units,,14.852946013563134
2016,,Male,,,,"Rate per 100,000 population",Undefined,Units,,12.579655969110071
2017,,Male,,,,"Rate per 100,000 population",Undefined,Units,,10.772885145299366
2018,,Male,,,,"Rate per 100,000 population",Undefined,Units,,9.960292406859828
2000,,Female,,,,"Rate per 100,000 population",Undefined,Units,,4.7920865330942926
2001,,Female,,,,"Rate per 100,000 population",Undefined,Units,,6.611460640079216
2002,,Female,,,,"Rate per 100,000 population",Undefined,Units,,8.830998832689357
2003,,Female,,,,"Rate per 100,000 population",Undefined,Units,,10.628827734036513
2004,,Female,,,,"Rate per 100,000 population",Undefined,Units,,10.498021507894968
2005,,Female,,,,"Rate per 100,000 population",Undefined,Units,,10.459213230707148
2006,,Female,,,,"Rate per 100,000 population",Undefined,Units,,9.454235048249592
2007,,Female,,,,"Rate per 100,000 population",Undefined,Units,,8.318634841395623
2008,,Female,,,,"Rate per 100,000 population",Undefined,Units,,8.25742220282202
2009,,Female,,,,"Rate per 100,000 population",Undefined,Units,,6.829870202524405
2010,,Female,,,,"Rate per 100,000 population",Undefined,Units,,6.290298988238267
2011,,Female,,,,"Rate per 100,000 population",Undefined,Units,,5.471002351630051
2012,,Female,,,,"Rate per 100,000 population",Undefined,Units,,5.260914173989547
2013,,Female,,,,"Rate per 100,000 population",Undefined,Units,,4.577462313224724
2014,,Female,,,,"Rate per 100,000 population",Undefined,Units,,4.877602658293449
2015,,Female,,,,"Rate per 100,000 population",Undefined,Units,,4.561747029847114
2016,,Female,,,,"Rate per 100,000 population",Undefined,Units,,3.895356770797328
2017,,Female,,,,"Rate per 100,000 population",Undefined,Units,,3.7300018996708393
2018,,Female,,,,"Rate per 100,000 population",Undefined,Units,,3.522032228645696
2000,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.9907498771604036
2001,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.2244926256282165
2002,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.205128774352323
2003,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.5396691660933144
2004,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.426167709094699
2005,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.2561405329685087
2006,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.1868640099497847
2007,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.0656980818536974
2008,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.9051726502540884
2009,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.810399630821993
2010,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.6966303987611921
2011,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.5667402799319156
2012,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3834588343564847
2013,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3183808142306319
2014,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2980489017599261
2015,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2861903031960779
2016,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.256918999947931
2017,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2540742284633768
2018,,,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3693925993535965
2000,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.0802466447016517
2001,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.28303327344673
2002,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.0797769287072858
2003,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.5303389700818733
2004,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.1598934539717696
2005,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.199324297110935
2006,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.9885781478215512
2007,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.9868219792885804
2008,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.875033438777839
2009,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.746871807456448
2010,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.4947977319885673
2011,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.4744608279868627
2012,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3832224514008609
2013,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2763544086387006
2014,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2054551422083448
2015,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2032449754031237
2016,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2507784581304466
2017,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.1983589434014162
2018,,Male,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3768505615482987
2000,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.8967452721850664
2001,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.163005568212215
2002,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.336588173051041
2003,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.549457372560865
2004,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.7058953869964282
2005,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.3158033242455185
2006,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.3947966169773514
2007,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,1.148465095227525
2008,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.9367937745931786
2009,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.8770651385081795
2010,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.9083613550452708
2011,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.6635292790588501
2012,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3837067866219349
2013,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3624799208778829
2014,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3951977722342308
2015,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.373228232263128
2016,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.2633678034967168
2017,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3126121278917055
2018,,Female,Under 15,,,"Rate per 100,000 population",Undefined,Units,,0.3615558678709576
2000,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,5.9108393307809335
2001,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,7.617214187798353
2002,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,9.702873454017826
2003,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,11.092853389586423
2004,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,11.788496476484545
2005,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,12.28434782741805
2006,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,10.24265670636377
2007,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,10.200021934998627
2008,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,9.51145411331681
2009,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.587218763991746
2010,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.385731969579295
2011,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.087078371888591
2012,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.488087556378883
2013,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,9.051651627546738
2014,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.917467248212924
2015,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,9.299683342702815
2016,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,6.921726477769929
2017,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,6.787614285033539
2018,,,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,6.022543155723485
2000,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,5.46275496438256
2001,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,6.673083721870229
2002,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,7.999212877452859
2003,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.723437264121129
2004,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,9.410246758721271
2005,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,11.93528345413172
2006,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,10.608512758728802
2007,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,10.65036516062342
2008,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,11.085264443246857
2009,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,10.743420384206104
2010,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,11.100422706986164
2011,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,11.828860897355952
2012,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,12.77134348349928
2013,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,13.801800405394998
2014,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,13.545304969544642
2015,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,14.98076104192879
2016,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,10.860071501544583
2017,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,10.443102823184477
2018,,Male,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.846919301970631
2000,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,6.368188267419755
2001,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,8.583198222274738
2002,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,11.448691146828237
2003,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,13.516123319399616
2004,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,14.222350975608668
2005,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,12.639709333022362
2006,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,9.869897497689202
2007,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,9.739494803140774
2008,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,7.90972695572958
2009,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,6.396405763285075
2010,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,5.602977921058237
2011,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,4.225143139006227
2012,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,4.045480076380637
2013,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,4.107762800349036
2014,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,4.0825874888480245
2015,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,3.353027960723689
2016,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,2.782967117839253
2017,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,2.908053829114968
2018,,Female,15 to 24,,,"Rate per 100,000 population",Undefined,Units,,3.0116364394391337
2000,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,20.113777590660916
2001,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,26.82165721969273
2002,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,32.345102061060835
2003,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,38.57735585626447
2004,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,39.08674384945734
2005,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,39.004696748131245
2006,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,37.120856540097
2007,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,32.47506321394047
2008,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,31.459384618525448
2009,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,26.6795085658887
2010,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,24.657880914692026
2011,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,24.01011166001682
2012,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,22.692191292134503
2013,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,22.552024940211783
2014,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,23.831831623137475
2015,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,23.63206875129849
2016,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,18.55628513711077
2017,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,16.19763434219756
2018,,,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,15.494077547357598
2000,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,24.368151990174464
2001,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,30.0844428553363
2002,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,32.85663288723108
2003,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,37.82297214252647
2004,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,40.93924826403531
2005,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,41.49953316155816
2006,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,40.35883539081557
2007,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,38.7359017665518
2008,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,37.166273726155545
2009,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,33.381999147392506
2010,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,32.26330716742149
2011,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,32.987044356089584
2012,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,33.627185972418204
2013,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,34.554770004793234
2014,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,37.26673603248467
2015,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,37.45213850349784
2016,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,29.324287505864294
2017,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,24.590236831105532
2018,,Male,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,23.711534897910884
2000,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,15.918859300025016
2001,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,23.59325509919497
2002,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,31.838564051904555
2003,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,39.3245017158779
2004,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,37.252620482032505
2005,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,36.538723372652896
2006,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,33.9185375337482
2007,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,26.27000119229196
2008,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,25.775239421289413
2009,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,19.99742125711283
2010,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,17.102791851118518
2011,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,15.069933689933402
2012,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,11.846639778595843
2013,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,10.64944150105714
2014,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,10.482309280079557
2015,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,9.831318139642772
2016,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,7.71704932431946
