Year,Series,Sex,Age,Employment status,Number of hours per week providing care,Net weekly income (£),Units,Unit multiplier,Observation status,Value
2020/21,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,9.0
2020/21,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,10.0
2020/21,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,9.0
2019/20,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2019/20,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2019/20,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2018/19,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2018/19,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,9.0
2018/19,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2017/18,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2017/18,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2017/18,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2016/17,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2016/17,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2016/17,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2015/16,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2015/16,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,7.0
2015/16,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,5.0
2014/15,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2014/15,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,9.0
2014/15,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2013/14,Proportion of informal carers by characteristics,,,,,Less than £50,Percentage (%),Units,Normal value,8.0
2013/14,Proportion of informal carers by characteristics,Female,,,,Less than £50,Percentage (%),Units,Normal value,9.0
2013/14,Proportion of informal carers by characteristics,Male,,,,Less than £50,Percentage (%),Units,Normal value,6.0
2020/21,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,8.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,8.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,6.0
2019/20,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,8.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,10.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,5.0
2018/19,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,8.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,9.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,6.0
2017/18,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,9.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,11.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,6.0
2016/17,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,9.0
2016/17,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,10.0
2016/17,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,6.0
2015/16,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,9.0
2015/16,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,12.0
2015/16,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,5.0
2014/15,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,8.0
2014/15,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,11.0
2014/15,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of informal carers by characteristics,,,,,£50 - £99,Percentage (%),Units,Normal value,10.0
2013/14,Proportion of informal carers by characteristics,Female,,,,£50 - £99,Percentage (%),Units,Normal value,11.0
2013/14,Proportion of informal carers by characteristics,Male,,,,£50 - £99,Percentage (%),Units,Normal value,7.0
2020/21,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,6.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,7.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,4.0
2019/20,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,7.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,4.0
2018/19,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,7.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,4.0
2017/18,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,8.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,6.0
2016/17,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,7.0
2016/17,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2016/17,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,5.0
