Year,Value,Units,Observation status,Unit multiplier,Unit measure
2000,65.15631434,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2001,66.19322177,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2002,66.95978205,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2003,66.01007118,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2004,65.6851937,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2005,65.22631225,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2006,64.85161006,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2007,64.77870305,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2008,62.37228481,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2009,65.31672344,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2010,65.24617464,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2011,65.47982703,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2012,65.78560864,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2013,66.64518237,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2014,67.38984609,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2015,68.13987609,Percentage (%) of national budget,Undefined,Units,Percentage (%)
2000,17.19810667,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2001,18.19998747,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2002,19.3823553,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2003,20.19938049,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2004,21.25898225,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2005,21.92779266,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2006,22.60317812,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2007,23.27682002,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2008,25.04367671,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2009,28.3376781,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2010,28.91882251,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2011,28.63680448,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2012,29.09953406,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2013,28.92871702,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2014,29.06991488,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
2015,28.9170488,Percentage (%) of gross domestic product (GDP),Undefined,Units,Percentage (%)
