Year,Value,Units,GeoCode,Observation status,Unit multiplier,Unit measure
2014/15,1.8080541271,(a) Physical violence (%),,Undefined,Units,Percentage (%)
2015/16,1.7969733332441653,(a) Physical violence (%),,Undefined,Units,Percentage (%)
2016/17,1.6663071735395631,(a) Physical violence (%),,Undefined,Units,Percentage (%)
2017/18,1.7499497701555906,(a) Physical violence (%),,Undefined,Units,Percentage (%)
2018/19,1.730990470867787,(a) Physical violence (%),,Undefined,Units,Percentage (%)
2004/05,2.6050799941591,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2005/06,2.977146032817532,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2006/07,2.9029316670167846,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2007/08,2.564376169051692,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2008/09,2.155759741841332,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2009/10,2.0818715682243445,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2010/11,2.3234354469975718,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2011/12,2.408723543752493,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2012/13,1.9138697969641625,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2013/14,1.4746422648221806,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2014/15,1.7090108873577323,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2015/16,1.961200960790143,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2016/17,1.956909146432753,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2017/18,2.7187110249381288,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
2018/19,2.86324979856038,(b) Sexual violence (%),,Undefined,Units,Percentage (%)
