Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2000,6.74862550249,,Undefined,Units,"Rate per 100,000 population"
2001,8.685058464958038,,Undefined,Units,"Rate per 100,000 population"
2002,10.57176523060623,,Undefined,Units,"Rate per 100,000 population"
2003,12.215640104068868,,Undefined,Units,"Rate per 100,000 population"
2004,12.74387591708367,,Undefined,Units,"Rate per 100,000 population"
2005,13.124598639544065,,Undefined,Units,"Rate per 100,000 population"
2006,12.200180883587375,,Undefined,Units,"Rate per 100,000 population"
2007,11.839708932334675,,Undefined,Units,"Rate per 100,000 population"
2008,11.615273167091775,,Undefined,Units,"Rate per 100,000 population"
2009,10.544408535455377,,Undefined,Units,"Rate per 100,000 population"
2010,10.084536105602954,,Undefined,Units,"Rate per 100,000 population"
2011,9.751103517263015,,Undefined,Units,"Rate per 100,000 population"
2012,9.718227901313288,,Undefined,Units,"Rate per 100,000 population"
2013,9.331470200740796,,Undefined,Units,"Rate per 100,000 population"
2014,9.718754899627152,,Undefined,Units,"Rate per 100,000 population"
2015,9.631387997739337,,Undefined,Units,"Rate per 100,000 population"
2016,8.178460248037208,,Undefined,Units,"Rate per 100,000 population"
2017,7.209242112107153,,Undefined,Units,"Rate per 100,000 population"
2018,6.702736712498053,,Undefined,Units,"Rate per 100,000 population"
