Year,Value,Units,Series,GeoCode,Observation status
2010,5.6,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2011,5.4,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2012,5.1,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2013,5.33,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2014,5.14,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2015,4.72,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2016,5.36,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2017,5.06,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2018,5.15,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2019,5.13,Percentage (%),Fraction of mortality attributable to particulate air pollution (old method),E92000001,Normal value
2018,7.07,Percentage (%),Fraction of mortality attributable to particulate air pollution (new method),E92000001,Normal value
2019,7.1,Percentage (%),Fraction of mortality attributable to particulate air pollution (new method),E92000001,Normal value
2020,5.64,Percentage (%),Fraction of mortality attributable to particulate air pollution (new method),E92000001,Normal value
2021,5.5,Percentage (%),Fraction of mortality attributable to particulate air pollution (new method),E92000001,Normal value
