Year,Value,GeoCode
2000 Q1,15.0,
2000 Q2,14.8,
2000 Q3,14.7,
2000 Q4,14.5,
2001 Q1,14.4,
2001 Q2,14.2,
2001 Q3,14.1,
2001 Q4,14.0,
2002 Q1,13.8,
2002 Q2,13.6,
2002 Q3,13.6,
2002 Q4,13.5,
2003 Q1,13.0,
2003 Q2,12.8,
2003 Q3,12.4,
2003 Q4,12.1,
2004 Q1,11.9,
2004 Q2,11.7,
2004 Q3,11.9,
2004 Q4,11.7,
2005 Q1,11.5,
2005 Q2,11.6,
2005 Q3,11.4,
2005 Q4,11.3,
2006 Q1,11.2,
2006 Q2,11.3,
2006 Q3,11.2,
2006 Q4,11.0,
2007 Q1,11.0,
2007 Q2,11.2,
2007 Q3,11.1,
2007 Q4,10.9,
2008 Q1,10.6,
2008 Q2,10.4,
2008 Q3,10.3,
2008 Q4,10.1,
2009 Q1,9.8,
2009 Q2,9.6,
2009 Q3,9.6,
2009 Q4,9.6,
2010 Q1,9.7,
2010 Q2,9.9,
2010 Q3,9.8,
2010 Q4,9.9,
2011 Q1,9.7,
2011 Q2,9.8,
2011 Q3,9.7,
2011 Q4,9.8,
2012 Q1,9.7,
2012 Q2,9.9,
2012 Q3,9.8,
2012 Q4,9.7,
2013 Q1,9.8,
2013 Q2,9.6,
2013 Q3,9.8,
2013 Q4,9.7,
2014 Q1,9.7,
2014 Q2,9.8,
2014 Q3,9.8,
2014 Q4,9.9,
2015 Q1,9.7,
2015 Q2,9.7,
2015 Q3,9.4,
2015 Q4,9.5,
2016 Q1,9.5,
2016 Q2,9.6,
2016 Q3,9.4,
2016 Q4,9.2,
2017 Q1,9.1,
2017 Q2,9.1,
2017 Q3,9.2,
2017 Q4,9.2,
2018 Q1,9.1,
2018 Q2,8.9,
2018 Q3,8.9,
2018 Q4,8.9,
