Year,Value,Series,Observation status,Unit multiplier,Unit measure
1990,0.5,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1991,0.51,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1992,0.5,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1993,0.48,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1994,0.46,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1995,0.44,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1996,0.45,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1997,0.42,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1998,0.41,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
1999,0.4,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2000,0.39,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2001,0.39,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2002,0.37,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2003,0.36,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2004,0.36,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2005,0.35,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2006,0.34,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2007,0.33,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2008,0.32,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2009,0.3,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2010,0.31,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2011,0.28,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2012,0.29,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2013,0.28,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2014,0.25,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2015,0.24,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2016,0.23,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2017,0.22,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2018,0.21,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2019,0.21,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2020,0.2,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
2021,0.19,CO2 emissions per unit of GDP,Normal value,Thousands,Tonnes per million GBP (£)
