Year,Value,Units,Series,Observation status
2009,525824.57,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2009,846011.636,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2010,358522.612,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2010,569004.856,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2011,546585.349,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2011,849905.501,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2012,597359.908,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2012,914122.135,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2013,487080.958,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2013,729043.697,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2014,512796.136,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2014,755517.652,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2015,1054063.897,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2015,1545082.238,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2016,892434.101,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2016,1283754.314,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2017,775148.591,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2017,1095122.971,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2018,1134131.355,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2018,1570888.012,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2019,1361156.666,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2019,1848100.176,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2020,933257.445,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2020,1196944.267,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2021,820463.626,GBP (£ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
2021,1043899.739,Constant USD ($ thousands),Net Official Development Assistance (ODA) to infrastructure,Definition differs
