Year,Country,Region,Renewable Source,Wind,Bioenergy,Units,Observation status,Unit multiplier,GeoCode,Value
2008,,,Hydro,,,,,,,26.33057556
2008,England,,Hydro,,,,,,E92000001,0.476958278
2008,England,East Midlands,Hydro,,,,,,E12000004,0.861493428
2008,England,East of England,Hydro,,,,,,E12000006,0.003153275
2008,England,North East,Hydro,,,,,,E12000001,2.474981629
2008,England,North West,Hydro,,,,,,E12000002,0.661344962
2008,England,London,Hydro,,,,,,E12000007,0.001280056
2008,England,South East,Hydro,,,,,,E12000008,0.01044337
2008,England,South West,Hydro,,,,,,E12000009,1.628804675
2008,England,West Midlands,Hydro,,,,,,E12000005,0.088787971
2008,England,Yorkshire and The Humber,Hydro,,,,,,E12000003,0.162541417
2008,Northern Ireland,,Hydro,,,,,,N92000002,5.688665162
2008,Scotland,,Hydro,,,,,,S92000003,276.5052182
2008,Wales,,Hydro,,,,,,W92000004,51.02388836
2009,,,Hydro,,,,,,,26.33700129
2009,England,,Hydro,,,,,,E92000001,0.478558082
2009,England,East Midlands,Hydro,,,,,,E12000004,0.874844269
2009,England,East of England,Hydro,,,,,,E12000006,0.003129649
2009,England,North East,Hydro,,,,,,E12000001,2.469091701
2009,England,North West,Hydro,,,,,,E12000002,0.654866568
2009,England,London,Hydro,,,,,,E12000007,0.001259035
2009,England,South East,Hydro,,,,,,E12000008,0.014486059
2009,England,South West,Hydro,,,,,,E12000009,1.624888245
2009,England,West Midlands,Hydro,,,,,,E12000005,0.088277746
2009,England,Yorkshire and The Humber,Hydro,,,,,,E12000003,0.191639685
2009,Northern Ireland,,Hydro,,,,,,N92000002,5.643681346
2009,Scotland,,Hydro,,,,,,S92000003,277.1169174
2009,Wales,,Hydro,,,,,,W92000004,50.94209299
2010,,,Hydro,,,,,,,26.23401102
2010,England,,Hydro,,,,,,E92000001,0.500198205
2010,England,East Midlands,Hydro,,,,,,E12000004,0.927320648
2010,England,East of England,Hydro,,,,,,E12000006,0.008265314
2010,England,North East,Hydro,,,,,,E12000001,2.469395423
2010,England,North West,Hydro,,,,,,E12000002,0.729666331
2010,England,London,Hydro,,,,,,E12000007,0.0
2010,England,South East,Hydro,,,,,,E12000008,0.015831619
2010,England,South West,Hydro,,,,,,E12000009,1.652053592
2010,England,West Midlands,Hydro,,,,,,E12000005,0.09612161
2010,England,Yorkshire and The Humber,Hydro,,,,,,E12000003,0.234312022
