Year,Sex,Age,Region,Income quartile,Disability status,Country of birth,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2011,,,,,,,Undefined,Units,Mean quality rating,,6.35
2011,,18 to 24,,,,,Undefined,Units,Mean quality rating,,6.54157123293443
2011,,24 to 29,,,,,Undefined,Units,Mean quality rating,,6.587100021852487
2011,,30 to 34,,,,,Undefined,Units,Mean quality rating,,6.42360813207665
2011,,35 to 39,,,,,Undefined,Units,Mean quality rating,,6.324131529957681
2011,,40 to 44,,,,,Undefined,Units,Mean quality rating,,6.10637651134163
2011,,45 to 49,,,,,Undefined,Units,Mean quality rating,,6.049377714236307
2011,,50 to 54,,,,,Undefined,Units,Mean quality rating,,5.938001936554987
2011,,55 to 59,,,,,Undefined,Units,Mean quality rating,,5.741916101598364
2011,,60 to 64,,,,,Undefined,Units,Mean quality rating,,6.16801720310198
2011,,65 to 69,,,,,Undefined,Units,Mean quality rating,,6.519395044093867
2011,,70 to 74,,,,,Undefined,Units,Mean quality rating,,6.5058849715431775
2011,,75 to 79,,,,,Undefined,Units,Mean quality rating,,6.88816131766271
2011,,80 to 84,,,,,Undefined,Units,Mean quality rating,,7.237547084759673
2011,,85+,,,,,Undefined,Units,Mean quality rating,,7.320972496815105
2011,Male,,,,,,Undefined,Units,Mean quality rating,,6.403225277646119
2011,Female,,,,,,Undefined,Units,Mean quality rating,,6.29557413382227
2011,,,,1st,,,Undefined,Units,Mean quality rating,,6.474055968730387
2011,,,,2nd,,,Undefined,Units,Mean quality rating,,6.536654182172991
2011,,,,3rd,,,Undefined,Units,Mean quality rating,,6.007045073183097
2011,,,,4th,,,Undefined,Units,Mean quality rating,,6.237648976997511
2011,,,,,Limiting long-term health condition,,Undefined,Units,Mean quality rating,,6.174850490742891
2011,,,East of England,,,,Undefined,Units,Mean quality rating,E12000006,6.379129301779734
2011,,,East Midlands,,,,Undefined,Units,Mean quality rating,E12000004,6.731160404083491
2011,,,London,,,,Undefined,Units,Mean quality rating,E12000007,6.189259921619204
2011,,,North East,,,,Undefined,Units,Mean quality rating,E12000001,6.156401830575462
2011,,,North West,,,,Undefined,Units,Mean quality rating,E12000002,6.422468138661824
2011,,,Northern Ireland,,,,Undefined,Units,Mean quality rating,N92000002,6.356685218193128
2011,,,Scotland,,,,Undefined,Units,Mean quality rating,S92000003,6.512420792257137
2011,,,South East,,,,Undefined,Units,Mean quality rating,E12000008,6.067385898207982
2011,,,South West,,,,Undefined,Units,Mean quality rating,E12000009,6.449166716539085
2011,,,Wales,,,,Undefined,Units,Mean quality rating,W92000004,6.671147332827869
2011,,,West Midlands,,,,Undefined,Units,Mean quality rating,E12000005,6.1595870085881455
2011,,,Yorkshire and the Humber,,,,Undefined,Units,Mean quality rating,E12000003,6.442184254479388
2016,,,,,,,Undefined,Units,Mean quality rating,,6.31
2016,,18 to 24,,,,,Undefined,Units,Mean quality rating,,6.566686574018964
2016,,24 to 29,,,,,Undefined,Units,Mean quality rating,,6.510796230338426
2016,,30 to 34,,,,,Undefined,Units,Mean quality rating,,6.313935349205847
2016,,35 to 39,,,,,Undefined,Units,Mean quality rating,,6.444538524728639
2016,,40 to 44,,,,,Undefined,Units,Mean quality rating,,6.656620399312858
2016,,45 to 49,,,,,Undefined,Units,Mean quality rating,,6.118357152930604
2016,,50 to 54,,,,,Undefined,Units,Mean quality rating,,5.942659643077443
2016,,55 to 59,,,,,Undefined,Units,Mean quality rating,,5.829679961102887
2016,,60 to 64,,,,,Undefined,Units,Mean quality rating,,6.2236200971474265
2016,,65 to 69,,,,,Undefined,Units,Mean quality rating,,6.069959304407018
2016,,70 to 74,,,,,Undefined,Units,Mean quality rating,,6.055925066650627
2016,,75 to 79,,,,,Undefined,Units,Mean quality rating,,6.576511352569905
2016,,80 to 84,,,,,Undefined,Units,Mean quality rating,,6.670043782839089
2016,Male,,,,,,Undefined,Units,Mean quality rating,,6.324386245218027
2016,Female,,,,,,Undefined,Units,Mean quality rating,,6.304542336988935
2016,,,,1st,,,Undefined,Units,Mean quality rating,,6.156166076147828
2016,,,,2nd,,,Undefined,Units,Mean quality rating,,6.390462492315358
2016,,,,3rd,,,Undefined,Units,Mean quality rating,,6.326025512296652
2016,,,,4th,,,Undefined,Units,Mean quality rating,,6.033433924148559
2016,,,,,Limiting long-term health condition,,Undefined,Units,Mean quality rating,,5.970843703397292
2016,,,,,,Born in UK,Undefined,Units,Mean quality rating,,6.23188595832038
2016,,,,,,Born in EU,Undefined,Units,Mean quality rating,,6.205882751505048
2016,,,,,,Not born in EU,Undefined,Units,Mean quality rating,,6.869865960558252
2016,,,East of England,,,,Undefined,Units,Mean quality rating,E12000006,6.522066523405978
2016,,,East Midlands,,,,Undefined,Units,Mean quality rating,E12000004,6.272933890495704
2016,,,London,,,,Undefined,Units,Mean quality rating,E12000007,6.687475868106356
2016,,,North West,,,,Undefined,Units,Mean quality rating,E12000002,6.5141633079320895
2016,,,Scotland,,,,Undefined,Units,Mean quality rating,S92000003,6.222758887516992
2016,,,South East,,,,Undefined,Units,Mean quality rating,E12000008,6.1222573416783375
2016,,,South West,,,,Undefined,Units,Mean quality rating,E12000009,5.833583573598869
2016,,,Wales,,,,Undefined,Units,Mean quality rating,W92000004,6.578124286657962
2016,,,West Midlands,,,,Undefined,Units,Mean quality rating,E12000005,6.151413761227213
2016,,,Yorkshire and the Humber,,,,Undefined,Units,Mean quality rating,E12000003,6.238690712596114
