Year,Series,Age,Sex,Citizenship,Disability status,Ethnicity,Index of multiple deprivation quintile,Household income,Region,Urban or rural,Observation status,Unit multiplier,Units,GeoCode,Value
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,28.8728294741659
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,25.25211794619614
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,27.18944109374118
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,24.729051377064216
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,31.768032911172767
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,22.01834907126129
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,25.827504246033257
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,23.85652657079653
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,28.17124480588758
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,24.592197786579312
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,21.813423773139924
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,24.89369142233019
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,26.030426274003915
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,23.628771
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,28.45861
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,25.984206
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,24.252010730693552
