Year,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2008,,,,Undefined,Units,"Rate per 100,000 population",,1.19654500332
2008,,Male,,Undefined,Units,"Rate per 100,000 population",,1.63554633499
2008,,Female,,Undefined,Units,"Rate per 100,000 population",,0.716426682049
2008,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.76647665095
2008,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,1.28345858313
2008,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,0.963500836494
2008,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,1.76761039338
2008,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,0.984999642196
2008,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,0.845333872298
2008,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,0.745964513922
2008,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,1.17337590828
2008,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,0.700576652427
2008,London,Male,,Undefined,Units,"Rate per 100,000 population",E12000007,2.44307060708
2008,London,Female,,Undefined,Units,"Rate per 100,000 population",E12000007,1.05939043683
2008,East Midlands,Male,,Undefined,Units,"Rate per 100,000 population",E12000004,1.64478042638
2008,East Midlands,Female,,Undefined,Units,"Rate per 100,000 population",E12000004,0.754756184894
2008,East of England,Female,,Undefined,Units,"Rate per 100,000 population",E12000006,0.688519352902
2008,East of England,Male,,Undefined,Units,"Rate per 100,000 population",E12000006,1.21274120174
2008,North West,Female,,Undefined,Units,"Rate per 100,000 population",E12000002,1.04244791564
2008,North West,Male,,Undefined,Units,"Rate per 100,000 population",E12000002,2.49324696726
2008,South East,Female,,Undefined,Units,"Rate per 100,000 population",E12000008,0.558678464714
2008,South East,Male,,Undefined,Units,"Rate per 100,000 population",E12000008,1.33154277145
2008,South West,Female,,Undefined,Units,"Rate per 100,000 population",E12000009,0.601863519924
2008,South West,Male,,Undefined,Units,"Rate per 100,000 population",E12000009,1.0209555044
2008,West Midlands,Female,,Undefined,Units,"Rate per 100,000 population",E12000005,0.50156128864
2008,West Midlands,Male,,Undefined,Units,"Rate per 100,000 population",E12000005,0.961198629479
2008,Yorkshire and the Humber,Female,,Undefined,Units,"Rate per 100,000 population",E12000003,0.491032611364
2008,Yorkshire and the Humber,Male,,Undefined,Units,"Rate per 100,000 population",E12000003,1.88147270708
2008,North East,Female,,Undefined,Units,"Rate per 100,000 population",E12000001,0.455632759995
