Year,Completeness of disaggregation,Goal,Observation status,Unit multiplier,Unit measure,Value
2020,Fully disaggregated,,Undefined,Units,Percentage (%),38.0
2020,Partially disaggregated,,Undefined,Units,Percentage (%),18.0
2020,Not disaggregated,,Undefined,Units,Percentage (%),44.0
2020,Fully disaggregated,Goal 1,Undefined,Units,Percentage (%),25.0
2020,Partially disaggregated,Goal 1,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,Goal 1,Undefined,Units,Percentage (%),75.0
2020,Fully disaggregated,Goal 2,Undefined,Units,Percentage (%),33.33333333333333
2020,Partially disaggregated,Goal 2,Undefined,Units,Percentage (%),33.33333333333333
2020,Not disaggregated,Goal 2,Undefined,Units,Percentage (%),33.33333333333333
2020,Fully disaggregated,Goal 3,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,Goal 3,Undefined,Units,Percentage (%),100.0
2020,Not disaggregated,Goal 3,Undefined,Units,Percentage (%),0.0
2020,Fully disaggregated,Goal 4,Undefined,Units,Percentage (%),71.42857142857143
2020,Partially disaggregated,Goal 4,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,Goal 4,Undefined,Units,Percentage (%),28.57142857142857
2020,Fully disaggregated,Goal 5,Undefined,Units,Percentage (%),66.66666666666666
2020,Partially disaggregated,Goal 5,Undefined,Units,Percentage (%),16.666666666666664
2020,Not disaggregated,Goal 5,Undefined,Units,Percentage (%),16.666666666666664
2020,Fully disaggregated,Goal 8,Undefined,Units,Percentage (%),50.0
2020,Partially disaggregated,Goal 8,Undefined,Units,Percentage (%),16.666666666666664
2020,Not disaggregated,Goal 8,Undefined,Units,Percentage (%),33.33333333333333
2020,Fully disaggregated,Goal 9,Undefined,Units,Percentage (%),50.0
2020,Partially disaggregated,Goal 9,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,Goal 9,Undefined,Units,Percentage (%),50.0
2020,Fully disaggregated,Goal 10,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,Goal 10,Undefined,Units,Percentage (%),100.0
2020,Not disaggregated,Goal 10,Undefined,Units,Percentage (%),0.0
2020,Fully disaggregated,Goal 11,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,Goal 11,Undefined,Units,Percentage (%),16.666666666666664
2020,Not disaggregated,Goal 11,Undefined,Units,Percentage (%),83.33333333333334
2020,Fully disaggregated,Goal 12,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,Goal 12,Undefined,Units,Percentage (%),100.0
2020,Not disaggregated,Goal 12,Undefined,Units,Percentage (%),0.0
2020,Fully disaggregated,Goal 15,Undefined,Units,Percentage (%),0.0
2020,Partially disaggregated,Goal 15,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,Goal 15,Undefined,Units,Percentage (%),100.0
2020,Fully disaggregated,Goal 16,Undefined,Units,Percentage (%),28.57142857142857
2020,Partially disaggregated,Goal 16,Undefined,Units,Percentage (%),14.285714285714285
2020,Not disaggregated,Goal 16,Undefined,Units,Percentage (%),57.14285714285714
2020,Fully disaggregated,Goal 17,Undefined,Units,Percentage (%),50.0
2020,Partially disaggregated,Goal 17,Undefined,Units,Percentage (%),0.0
2020,Not disaggregated,Goal 17,Undefined,Units,Percentage (%),50.0
