Year,Value,GeoCode,Observation status,Unit multiplier,Unit measure
2009,3.7535845769,,Undefined,Units,"Rate per 100,000 population"
2010,3.0353991596103067,,Undefined,Units,"Rate per 100,000 population"
2011,3.0970933226114914,,Undefined,Units,"Rate per 100,000 population"
2012,2.8286620381467524,,Undefined,Units,"Rate per 100,000 population"
2013,2.76106690994838,,Undefined,Units,"Rate per 100,000 population"
2014,2.8701133456369448,,Undefined,Units,"Rate per 100,000 population"
2015,2.7706942988234347,,Undefined,Units,"Rate per 100,000 population"
2016,2.833290382072864,,Undefined,Units,"Rate per 100,000 population"
2017,2.810408183169686,,Undefined,Units,"Rate per 100,000 population"
2018,2.768096297840539,,Undefined,Units,"Rate per 100,000 population"
2019,2.7067162057611527,,Undefined,Units,"Rate per 100,000 population"
