Year,Value,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2008,84,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2009,89,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2010,89,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2011,91,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2012,92,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2013,92,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2014,93,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2015,93,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2016,93,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2017,97,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2018,94,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2019,94,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2020,94,Percentage of individuals who use a mobile telephone,,Normal value,Units,Percentage (%)
2011,28,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2012,39,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2013,51,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2014,61,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2015,71,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2016,76,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2017,81,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2018,78,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2019,84,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
2020,87,Percentage of individuals who use a smartphone,,Normal value,Units,Percentage (%)
