Year,Value,Observation status,Unit multiplier,Unit measure
2000,97.99999857,Undefined,Units,Percentage (%)
2001,99.89999694,Undefined,Units,Percentage (%)
2002,99.99999696,Undefined,Units,Percentage (%)
2003,100.0000018,Undefined,Units,Percentage (%)
2004,99.99999911,Undefined,Units,Percentage (%)
2005,99.99999845,Undefined,Units,Percentage (%)
2008,99.99999714,Undefined,Units,Percentage (%)
2009,100.0000019,Undefined,Units,Percentage (%)
2010,99.5,Undefined,Units,Percentage (%)
2012,100.0,Undefined,Units,Percentage (%)
