Year,Value,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2010,33.280405286439766,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2011,31.34103137283931,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2012,25.801656700305493,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2013,25.09267333326096,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2014,24.11164877513682,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2015,23.98198643465323,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2016,23.123305311917992,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2017,21.80821502664656,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
2018,20.562568457882257,"Number of commercial bank branches and building societies per 100,000 adults",K02000001,Undefined,Units,"Number per 100,000 people"
1998,52.94602897034523,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
1999,59.34888997007187,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2000,67.12608898494337,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2001,76.82558706018384,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2002,88.50790824467143,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2003,99.20987583978028,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2004,113.80810051232925,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2005,118.82731599877437,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2006,123.89124204265777,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2007,128.92374637822476,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2008,127.51470370252412,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2009,124.95079938511532,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2010,124.24946355833896,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2011,126.6481156034661,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2012,127.60654493968995,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2013,129.6903101068235,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2014,131.57008821545597,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2015,133.5801374585024,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2016,131.43575897963942,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2017,128.1407752315164,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
2018,117.44729566544588,"Number of automated teller machines (ATMs) per 100,000 adults",,Undefined,Units,"Number per 100,000 adults"
