Year,Value,Units,Series,Observation status,Unit multiplier
1972,4.034826298381207,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1973,4.855151061697478,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1974,-2.73254677274434,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1975,-1.129904343687326,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1976,3.6395079528679872,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1977,2.2927193677125213,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1978,3.4990946354690995,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1979,2.5131969130992746,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1980,-1.809693251244392,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1981,1.7245404670738411,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1982,3.722617323850446,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1983,4.634317577485246,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1984,-0.2379047616721954,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1985,2.433258984991172,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1986,1.936618689848228,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1987,3.1518628528709707,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1988,1.8290540197605505,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1989,-0.4323799992515741,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1990,0.1814993151348618,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1991,0.9782495552577364,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1992,2.466530666367678,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1993,3.061574282048569,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1994,2.6630151372965103,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1995,0.8729209798210664,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1996,0.9613739906281225,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1997,2.687822880256033,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1998,2.12167207287804,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
1999,1.5997504008480508,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2000,2.8958379265622827,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2001,1.316929697384555,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2002,0.9258319400569408,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2003,2.110860793292964,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2004,1.2365033135647807,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2005,1.5295554127398103,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2006,1.150651804660472,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2007,1.7255807931267,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2008,-0.9968384209990356,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2009,-2.964627059797067,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2010,2.1777475418812395,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2011,0.5515736896724873,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2012,0.3587150954188984,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2013,0.6472217294609127,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2014,0.81383450477915,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2015,0.6551860501255032,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2016,0.6879560576280391,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2017,1.443325952240817,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2018,0.5073479114489451,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2019,0.4891054187249318,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2020,-10.23719976119064,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
2021,7.8633416085075805,Percentage (%),Annual growth rate of real GDP per employed person,Normal value,Units
