Value,Disaggregation combinations using this value,Number of indicators
African,5,4
Any other Asian background,12,7
Any other Black background,4,2
Any other black background,4,1
Any other ethnic group,3,3
Any Other ethnic group,2,1
Any other mixed background,4,1
Any other Mixed ethnic background,1,1
Any other Mixed/Multiple ethnic background,1,1
Any other White background,5,4
Any other white background,5,2
Arab,1,1
Asian/Asian British,21,1
Bangladeshi,11,7
Bangledeshi,2,1
Black African,8,3
Black Caribbean,8,3
Black Other,2,1
Black/African/Caribbean/Black British,3,1
Caribbean,4,4
Chinese,6,5
English/Welsh/Scottish/Northern Irish/British,5,4
Gypsy or Irish Traveller,1,1
Gypsy / Roma,4,1
Indian,14,8
Irish,7,4
Mixed/ multiple,2,1
Mixed/multiple ethnic groups,3,1
Mixed/Other,2,1
Not Stated,2,1
Other ethnic group,3,1
Pakistani,13,8
Traveller of Irish heritage,4,1
White and Asian,5,2
White and Black African,1,1
White and black African,4,1
White and Black Caribbean,3,3
White and black Caribbean,4,1
White British,6,2
White Other,2,1
White,5,2
