Value,Disaggregation combinations using this value,Number of indicators
Any other Asian background,6,3
Any other Black background,3,2
Any other Ethnic group,3,2
Any other ethnic group,6,2
Any other Mixed background,3,2
Any other White background,3,2
Asian,50,7
Asian/Asian British,39,8
Bangladeshi,9,3
Black African,15,1
Black - African,3,2
Black - Caribbean,3,2
Black,15,5
Black/African/Caribbean/Black British,52,10
Chinese or other,4,2
Chinese,22,6
Indian,6,3
Mixed,51,7
Mixed/Multiple ethnic background,2,2
Mixed/multiple ethnic groups,4,3
Mixed/Multiple ethnic groups,13,3
Non Black African,15,1
Not known,2,1
Not stated / Invalid,3,2
Not stated,3,1
Other ethnic group,18,8
Other,12,4
Pakistani,6,3
Unclassified,4,1
White and Asian,3,2
White and Black African,3,2
White and Black Caribbean,3,2
White - British,3,2
White (inc. not known),2,1
White - Irish,3,2
White,83,14
