Value,Disaggregation combinations using this value,Number of indicators
"Accounting, bookkeeping and auditing activities; tax consultancy",1,1
Air and spacecraft and related machinery,1,1
Alcoholic beverages,1,1
Bakery and farinaceous products,1,1
Basic iron and steel,1,1
Building of ships and boats,3,2
"Cement, lime, plaster and articles of concrete, cement and plaster",1,1
Dairy products,1,1
"Dyestuffs, agro-chemicals",1,1
"Fabricated metal products, excluding weapons and ammunition",1,1
"Glass, refractory, clay, porcelain, ceramic, stone products",1,1
"Grain mill products, starches and starch products",1,1
"Industrial gases, inorganics and fertilisers (all inorganic chemicals)",1,1
Legal activities,1,1
Manufacture of air and spacecraft and related machinery,2,1
Manufacture of alcoholic beverages,2,1
Manufacture of bakery and farinaceous products,2,1
Manufacture of basic iron and steel,2,1
"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",3,1
Manufacture of dairy products,2,1
"Manufacture of dyestuffs, agro-chemicals",2,1
"Manufacture of fabricated metal products, excluding weapons & ammunition",2,1
"Manufacture of fabricated metal products, excluding weapons and ammunition",1,1
"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",3,1
"Manufacture of grain mill products, starches and starch products",2,1
"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",2,1
Manufacture of other basic metals and casting,2,1
Manufacture of other chemical products,2,1
Manufacture of other food products,2,1
Manufacture of other transport equipment,2,1
"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2,1
Manufacture of petrochemicals,2,1
Manufacture of prepared animal feeds,2,1
"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",1,1
"Manufacture of soap & detergents, cleaning & polishing, perfumes & toilet preparations",2,1
Manufacture of soft drinks; production of mineral waters and other bottled waters,2,1
Manufacture of vegetable and animal oils and fats,2,1
Manufacture of weapons and ammunition,2,1
Other basic metals and casting,1,1
Other chemical products,1,1
Other food products,1,1
Other transport equipment,1,1
"Paints, varnishes and similar coatings, printing ink and mastics",1,1
Petrochemicals,1,1
Prepared animal feeds,1,1
"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",3,2
Processing and preserving of meat and production of meat products,3,2
Repair and maintenance of aircraft and spacecraft,3,2
Repair and maintenance of ships and boats,3,2
Rest of repair; installation,3,2
"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",1,1
Soft drinks; production of mineral waters and other bottled waters,1,1
Vegetable and animal oils and fats,1,1
Weapons and ammunition,1,1
